queue_position,bags,vehicle_type,arrival_hour,avg_service_minutes,weather_delay_minutes,workers_available,warehouse_load_percent,day_of_week,festival_season,expected_wait_minutes
87,704,Pickup,17,9,26,8,36,Friday,0,594
101,626,Truck,7,17,4,8,43,Monday,1,1222
98,355,Tractor,13,14,10,7,55,Thursday,1,1001
21,501,Truck,17,5,30,6,48,Saturday,0,139
200,1000,Truck,18,4,30,4,45,Monday,0,630
62,149,Pickup,16,7,18,4,79,Saturday,1,382
197,397,Tractor,15,7,24,3,59,Monday,0,1033
80,609,Pickup,12,10,2,10,100,Tuesday,0,584
179,811,MiniTruck,19,7,25,10,25,Wednesday,1,924
170,399,Truck,14,14,0,7,82,Monday,1,1701
93,670,Pickup,17,8,13,3,86,Saturday,1,595
158,847,Pickup,13,17,26,10,54,Wednesday,0,1929
23,305,Pickup,9,18,18,10,68,Wednesday,0,329
127,891,MiniTruck,8,19,6,6,53,Wednesday,1,1724
153,738,MiniTruck,14,4,16,4,30,Tuesday,1,478
126,588,Tractor,17,19,20,8,77,Monday,0,1730
76,246,Pickup,17,11,9,10,67,Thursday,1,621
109,783,MiniTruck,11,18,8,5,52,Tuesday,0,1400
185,217,MiniTruck,7,9,6,4,81,Wednesday,1,1221
26,872,Tractor,10,11,11,3,58,Monday,0,242
71,66,Truck,14,13,22,3,82,Monday,0,722
147,311,Pickup,13,18,10,3,26,Wednesday,1,1891
30,861,Truck,12,19,2,10,100,Saturday,0,423
39,172,MiniTruck,7,11,3,9,73,Friday,0,315
199,555,Pickup,13,18,9,10,74,Wednesday,0,2532
157,777,Truck,18,10,20,4,53,Saturday,0,1153
41,265,Tractor,14,6,5,1,72,Thursday,1,230
75,53,Tractor,10,13,22,8,29,Saturday,0,717
68,826,Tractor,12,7,17,4,39,Wednesday,0,374
19,81,Tractor,18,13,19,10,56,Thursday,0,208
120,725,MiniTruck,17,16,30,5,84,Friday,1,1446
113,102,Truck,20,17,23,6,97,Wednesday,0,1421
24,254,Truck,18,12,18,1,42,Thursday,1,270
72,205,Pickup,16,19,2,8,64,Thursday,1,984
83,706,Truck,19,9,10,7,83,Wednesday,1,578
195,583,Truck,13,6,10,5,61,Monday,1,869
132,864,Truck,16,18,13,1,44,Friday,1,1723
160,794,Pickup,16,18,24,1,46,Wednesday,0,2084
74,468,Pickup,7,4,20,10,50,Saturday,0,242
80,584,Truck,14,17,2,4,34,Thursday,0,960
166,872,Tractor,13,13,16,5,73,Thursday,1,1579
63,487,Tractor,12,10,29,10,85,Saturday,0,511
18,302,Pickup,11,20,8,1,56,Saturday,1,308
151,613,Pickup,19,8,14,9,81,Wednesday,1,902
142,801,Pickup,13,14,27,4,50,Friday,1,1473
60,896,Pickup,6,14,23,8,68,Thursday,0,644
127,57,Tractor,14,14,27,2,76,Monday,1,1345
4,759,Tractor,12,8,2,8,53,Wednesday,1,43
167,102,MiniTruck,19,16,30,6,100,Saturday,1,1977
139,56,Truck,9,13,7,2,75,Monday,0,1310
114,190,MiniTruck,20,4,1,6,27,Wednesday,1,331
96,461,Tractor,9,20,13,10,43,Tuesday,0,1361
21,644,Pickup,15,11,15,10,38,Tuesday,1,195
164,280,Pickup,10,4,28,8,56,Saturday,0,519
19,472,MiniTruck,15,13,20,7,52,Thursday,1,232
51,413,Pickup,7,11,12,10,65,Friday,1,434
180,322,Truck,19,16,8,1,92,Saturday,0,2075
156,783,Pickup,19,13,24,4,97,Wednesday,0,1504
163,214,MiniTruck,16,8,20,2,100,Saturday,0,996
80,827,Pickup,6,15,23,3,31,Wednesday,1,907
192,445,Tractor,9,8,25,9,66,Friday,1,1146
43,283,Pickup,18,13,23,6,34,Thursday,0,436
37,792,Tractor,19,16,30,9,66,Monday,1,495
4,290,Truck,13,15,21,5,94,Thursday,1,131
28,711,Tractor,13,4,19,9,61,Friday,0,119
166,84,Pickup,20,13,20,7,34,Tuesday,0,1546
10,331,Pickup,7,7,7,9,37,Thursday,1,69
95,706,Pickup,15,8,28,7,32,Thursday,1,598
72,53,MiniTruck,9,18,14,4,66,Monday,1,971
140,943,MiniTruck,6,16,8,4,35,Thursday,0,1589
170,237,Truck,6,14,7,3,92,Tuesday,0,1717
196,587,Tractor,15,10,26,4,62,Tuesday,0,1443
71,899,Tractor,8,12,25,3,34,Saturday,0,654
34,35,MiniTruck,18,11,18,6,22,Tuesday,1,305
14,149,Pickup,14,7,23,2,80,Thursday,1,163
132,627,Truck,13,20,7,10,25,Saturday,1,1859
118,678,Truck,6,19,27,7,74,Saturday,0,1639
126,749,Pickup,7,6,10,10,38,Monday,0,538
71,659,MiniTruck,12,20,9,8,84,Friday,1,1045
26,832,Truck,19,10,13,8,49,Thursday,1,223
117,428,Pickup,17,7,10,7,60,Saturday,1,617
96,996,Tractor,16,19,2,2,30,Monday,1,1304
25,782,MiniTruck,18,8,17,1,95,Friday,1,233
172,145,Pickup,11,17,27,1,56,Friday,1,2140
91,126,Tractor,8,19,7,2,64,Friday,1,1265
30,800,MiniTruck,15,11,25,7,91,Friday,0,305
156,971,MiniTruck,6,9,8,5,63,Wednesday,0,1015
47,910,Tractor,15,16,2,3,23,Monday,0,532
97,449,Pickup,11,9,11,5,61,Friday,0,648
14,179,Tractor,18,5,21,2,54,Thursday,1,127
125,641,Pickup,12,12,6,9,34,Wednesday,1,1067
29,310,Pickup,14,13,1,4,70,Friday,0,288
2,229,MiniTruck,9,8,24,5,57,Wednesday,0,72
2,529,Pickup,8,8,12,9,49,Friday,1,47
19,426,Truck,12,4,14,2,60,Friday,1,120
147,434,Pickup,10,7,12,1,61,Tuesday,1,786
177,961,MiniTruck,7,17,27,2,51,Thursday,1,2194
135,100,Pickup,19,13,23,6,48,Wednesday,0,1280
20,542,Truck,14,20,6,6,64,Saturday,0,306
61,125,Tractor,10,10,5,10,39,Saturday,0,426
46,994,Pickup,13,18,21,10,99,Wednesday,1,656
39,470,Truck,13,18,20,5,55,Friday,0,543
91,539,Truck,10,18,14,1,27,Wednesday,1,1200
20,680,Truck,15,20,12,8,94,Friday,0,327
116,950,Tractor,11,19,16,3,27,Thursday,0,1579
88,751,Truck,14,9,1,4,76,Thursday,0,582
94,401,MiniTruck,12,17,24,6,96,Monday,1,1211
17,357,Truck,14,16,9,5,97,Tuesday,1,256
21,616,Tractor,20,15,9,7,36,Friday,0,235
80,592,Pickup,16,14,26,3,87,Monday,1,885
131,390,Truck,11,13,5,4,63,Thursday,0,1221
58,160,Tractor,7,13,27,2,84,Friday,0,617
170,364,Tractor,15,16,4,3,43,Saturday,0,1924
185,468,Truck,12,15,21,4,76,Friday,1,2025
193,786,Pickup,9,11,9,8,44,Wednesday,1,1517
119,807,MiniTruck,18,16,16,9,73,Tuesday,0,1374
155,161,MiniTruck,6,19,27,6,90,Monday,0,2142
73,105,Tractor,10,18,28,9,38,Thursday,0,967
57,856,Pickup,20,15,29,1,73,Monday,1,705
129,402,Tractor,12,6,11,4,23,Wednesday,0,563
183,685,MiniTruck,18,8,4,1,56,Thursday,0,1057
195,742,Pickup,13,4,28,2,22,Wednesday,0,607
39,581,Pickup,7,13,7,5,35,Monday,0,371
108,674,Pickup,7,7,26,8,96,Friday,0,605
162,547,Tractor,17,8,9,7,20,Friday,1,929
62,604,Pickup,8,6,16,6,28,Friday,0,288
100,914,Pickup,6,16,11,5,22,Wednesday,0,1138
89,266,Truck,18,14,4,1,65,Friday,1,924
165,199,Pickup,17,19,20,3,37,Monday,1,2259
10,320,Tractor,6,10,28,1,60,Wednesday,1,168
140,504,MiniTruck,6,10,9,6,26,Saturday,1,1007
70,147,MiniTruck,12,16,23,8,69,Wednesday,0,840
128,728,Pickup,11,20,8,2,74,Monday,1,1854
155,862,Tractor,14,13,10,2,30,Wednesday,1,1454
79,476,Pickup,8,18,11,8,25,Saturday,1,1020
158,465,MiniTruck,16,5,2,7,66,Friday,0,569
8,166,Pickup,6,8,2,4,66,Wednesday,1,84
146,53,Tractor,16,18,30,6,67,Thursday,0,1915
147,160,MiniTruck,12,14,20,5,51,Monday,0,1491
189,210,Pickup,14,16,29,9,35,Wednesday,1,2180
181,476,Tractor,15,13,22,8,45,Monday,0,1689
19,482,Tractor,20,18,2,6,64,Saturday,0,257
141,575,MiniTruck,20,13,27,3,42,Wednesday,0,1349
32,225,Tractor,9,19,0,6,90,Friday,1,467
120,842,Tractor,15,6,2,5,70,Saturday,1,543
135,440,Pickup,19,6,4,6,29,Thursday,1,586
175,549,MiniTruck,8,9,24,3,75,Friday,0,1179
32,550,Tractor,10,9,5,6,48,Wednesday,1,232
21,276,Tractor,16,12,4,5,98,Friday,0,218
129,676,Tractor,15,8,5,10,97,Wednesday,0,750
8,103,Truck,16,12,20,4,93,Thursday,0,141
128,930,MiniTruck,16,13,15,4,71,Wednesday,1,1233
19,725,Truck,8,18,13,8,79,Tuesday,1,295
156,167,MiniTruck,19,14,23,6,71,Tuesday,1,1607
132,595,Truck,11,11,14,2,54,Thursday,0,1065
37,119,Truck,10,16,27,10,73,Tuesday,0,474
84,976,MiniTruck,9,9,15,9,79,Thursday,1,586
128,43,Truck,12,20,14,4,47,Friday,1,1846
13,71,MiniTruck,13,19,9,9,21,Monday,1,189
35,923,MiniTruck,17,15,24,7,66,Monday,1,442
14,603,Tractor,11,13,2,7,84,Thursday,1,167
160,716,Truck,8,7,12,6,63,Friday,1,836
194,167,Tractor,15,20,12,9,25,Monday,0,2725
36,750,MiniTruck,18,19,16,8,39,Friday,0,506
84,973,MiniTruck,8,16,19,5,95,Wednesday,1,1026
182,596,MiniTruck,13,4,11,6,34,Thursday,1,545
186,913,Truck,15,19,8,10,93,Tuesday,0,2506
150,511,Tractor,14,16,4,4,24,Friday,0,1688
49,39,Pickup,11,17,4,7,46,Thursday,1,608
189,764,Truck,17,8,16,4,91,Wednesday,1,1138
135,405,MiniTruck,8,18,29,9,63,Friday,1,1778
174,810,MiniTruck,15,19,6,4,55,Friday,1,2356
58,984,MiniTruck,18,13,22,4,82,Wednesday,1,615
90,593,MiniTruck,10,7,18,9,68,Thursday,1,499
198,843,Tractor,10,5,9,2,64,Thursday,1,752
192,510,Tractor,9,12,29,9,54,Tuesday,0,1670
158,778,Tractor,9,5,21,9,48,Saturday,0,592
14,122,Pickup,11,19,3,3,20,Friday,0,193
105,688,Pickup,13,10,24,5,61,Wednesday,0,798
197,111,Tractor,14,5,29,3,73,Tuesday,0,775
102,826,Pickup,8,13,28,1,21,Wednesday,0,991
86,311,Pickup,16,20,15,3,84,Thursday,1,1282
50,848,Truck,11,9,23,8,52,Saturday,0,363
4,774,MiniTruck,18,13,18,4,42,Friday,1,96
110,547,MiniTruck,7,16,21,2,43,Tuesday,1,1304
83,978,Tractor,6,12,12,4,77,Wednesday,1,762
78,616,Truck,10,15,22,4,27,Saturday,0,864
120,334,Tractor,12,20,29,5,35,Saturday,1,1755
95,649,Tractor,9,8,15,3,78,Saturday,1,607
107,738,Pickup,18,10,24,4,96,Monday,1,848
136,740,MiniTruck,7,7,1,9,84,Tuesday,0,683
43,355,Pickup,7,10,22,10,82,Monday,1,371
15,484,Tractor,14,17,14,10,27,Friday,1,205
173,846,MiniTruck,17,4,12,5,20,Saturday,0,503
149,94,Truck,12,15,22,2,89,Monday,0,1647
121,52,MiniTruck,12,9,24,3,73,Wednesday,1,852
115,910,Pickup,12,6,21,9,37,Saturday,1,531
31,202,Pickup,14,8,23,4,20,Monday,1,232
119,709,Pickup,14,16,26,4,51,Thursday,1,1413
40,302,Tractor,20,7,1,7,98,Monday,0,226
53,88,Truck,15,5,14,10,26,Tuesday,0,196
103,469,Tractor,14,10,24,1,37,Friday,1,799
60,855,MiniTruck,15,14,7,5,38,Saturday,0,606
106,327,MiniTruck,6,9,20,7,91,Thursday,0,732
89,984,Pickup,18,20,10,7,72,Tuesday,1,1296
97,208,Pickup,9,11,9,3,79,Monday,1,810
107,590,Tractor,12,11,8,4,62,Saturday,0,858
116,887,MiniTruck,7,10,1,5,68,Saturday,0,833
19,212,Tractor,13,10,27,6,58,Monday,0,198
49,779,Truck,17,19,29,4,97,Saturday,0,746
102,957,Tractor,14,14,24,5,68,Thursday,1,1081
79,287,MiniTruck,14,19,14,2,80,Wednesday,0,1112
95,340,Pickup,6,11,23,3,22,Wednesday,1,794
76,176,Tractor,11,11,12,10,51,Thursday,1,619
66,801,Pickup,17,19,14,3,65,Tuesday,0,929
185,579,Pickup,8,5,16,1,29,Saturday,0,691
196,26,Pickup,8,11,2,3,21,Tuesday,1,1529
96,81,Pickup,16,19,0,1,88,Friday,1,1332
4,37,MiniTruck,14,13,0,9,75,Tuesday,0,46
25,556,Tractor,9,10,19,9,52,Wednesday,1,227
102,100,MiniTruck,12,18,18,4,48,Wednesday,0,1333
168,898,Truck,7,16,12,7,90,Thursday,0,1929
164,29,Tractor,7,19,27,7,62,Friday,0,2245
136,961,Truck,9,10,28,10,80,Wednesday,0,1018
20,720,MiniTruck,20,5,5,6,22,Tuesday,0,73
193,860,Pickup,20,6,9,3,92,Tuesday,1,880
174,938,MiniTruck,12,8,25,2,84,Saturday,1,1075
14,120,Pickup,9,6,10,10,98,Friday,1,112
199,354,Truck,16,12,25,8,82,Tuesday,1,1753
142,983,Pickup,12,9,21,10,68,Monday,1,955
64,750,Truck,7,12,4,7,39,Saturday,1,559
82,389,Truck,7,4,30,5,76,Wednesday,1,327
27,155,Truck,8,17,14,9,91,Friday,1,382
27,46,Truck,11,6,19,10,61,Thursday,0,151
75,443,Pickup,18,6,23,9,51,Friday,0,359
176,409,Tractor,8,12,9,5,83,Tuesday,0,1522
43,465,MiniTruck,12,13,15,2,66,Wednesday,0,448
185,660,Pickup,15,10,14,2,37,Wednesday,0,1335
102,360,Pickup,18,14,14,6,75,Saturday,0,1047
77,348,Tractor,13,14,5,7,60,Wednesday,1,788
148,820,Tractor,11,16,8,7,66,Monday,0,1685
152,578,Tractor,16,4,30,8,46,Thursday,1,499
178,90,Pickup,16,19,4,5,50,Wednesday,0,2385
184,453,Pickup,7,18,19,8,94,Thursday,1,2394
140,57,MiniTruck,17,6,3,4,65,Tuesday,0,614
145,680,Pickup,18,14,30,7,33,Monday,0,1476
67,247,Tractor,13,15,12,8,95,Saturday,0,751
89,45,Pickup,7,13,13,2,34,Saturday,0,846
90,339,MiniTruck,13,10,16,8,64,Thursday,0,670
113,759,Pickup,11,6,9,1,34,Monday,1,521
166,131,Tractor,20,11,16,3,90,Tuesday,1,1361
144,456,Pickup,9,16,20,3,43,Saturday,1,1680
102,49,Tractor,13,17,12,1,47,Tuesday,1,1273
193,740,Truck,15,7,25,9,43,Wednesday,1,1005
51,488,Truck,10,19,16,6,96,Thursday,1,755
151,136,MiniTruck,11,18,19,3,58,Friday,0,1960
173,157,MiniTruck,7,11,9,2,43,Wednesday,0,1365
131,417,Pickup,15,8,18,7,74,Tuesday,1,800
163,570,Tractor,14,9,15,5,37,Tuesday,1,1075
116,654,Truck,19,15,30,1,82,Tuesday,0,1316
99,595,Pickup,12,19,13,8,82,Tuesday,0,1359
145,51,Tractor,10,5,8,4,88,Wednesday,0,555
200,488,Pickup,14,20,3,10,34,Wednesday,1,2808
139,862,Truck,18,18,17,4,74,Monday,0,1810
77,915,Truck,13,12,11,2,76,Monday,0,700
54,850,MiniTruck,19,17,5,10,37,Tuesday,0,641
16,603,MiniTruck,14,12,19,9,41,Wednesday,1,180
75,606,MiniTruck,19,20,28,2,37,Thursday,0,1118
71,907,Tractor,17,8,7,3,61,Tuesday,1,448
126,165,MiniTruck,16,17,12,8,29,Saturday,0,1513
104,547,MiniTruck,17,15,14,8,61,Friday,0,1126
199,887,Truck,17,18,20,6,28,Friday,1,2558
56,459,Tractor,13,12,10,5,63,Friday,0,506
145,892,Pickup,18,14,28,1,25,Monday,1,1501
5,147,Tractor,13,18,0,7,45,Saturday,0,64
167,329,Tractor,19,12,2,6,52,Monday,1,1429
171,945,Tractor,6,16,20,5,49,Thursday,0,1964
181,117,Truck,9,19,2,3,95,Tuesday,1,2464
3,28,MiniTruck,19,7,27,7,36,Thursday,0,65
59,412,Truck,17,7,3,6,67,Wednesday,0,310
98,812,Tractor,16,8,2,9,92,Monday,0,571
113,379,Tractor,16,8,29,7,98,Saturday,1,733
56,108,Truck,8,7,18,7,64,Thursday,1,336
36,273,MiniTruck,16,6,7,9,96,Friday,1,201
200,983,Truck,19,13,6,9,97,Friday,0,1853
192,421,MiniTruck,16,5,25,4,83,Thursday,0,751
62,531,Truck,14,4,11,6,36,Thursday,1,210
94,579,Tractor,18,19,30,2,22,Friday,0,1315
4,288,Tractor,6,5,30,7,84,Wednesday,1,110
109,738,Pickup,7,8,8,2,59,Monday,0,649
40,569,MiniTruck,12,6,9,7,50,Monday,0,190
23,966,Pickup,7,18,19,10,27,Wednesday,0,311
31,32,Tractor,17,4,5,8,64,Friday,1,119
43,400,Tractor,17,12,23,2,23,Wednesday,1,427
70,556,Truck,10,6,15,8,85,Wednesday,0,342
128,899,Tractor,11,9,8,2,93,Saturday,0,862
59,778,Truck,6,4,7,1,80,Wednesday,1,231
39,203,Truck,14,17,7,6,51,Thursday,1,500
70,865,Truck,15,15,3,9,26,Tuesday,0,727
133,67,Pickup,7,18,27,5,59,Wednesday,0,1744
142,487,Truck,11,10,9,10,58,Saturday,0,1011
119,397,Pickup,18,10,23,9,51,Tuesday,0,877
105,44,Tractor,14,15,20,1,62,Monday,1,1185
189,764,MiniTruck,7,10,16,4,73,Thursday,0,1379
37,748,MiniTruck,7,5,29,4,86,Thursday,1,233
118,785,Truck,15,7,16,3,70,Monday,0,636
112,698,Tractor,9,13,8,6,70,Saturday,1,1067
82,483,MiniTruck,9,6,30,4,37,Friday,0,410
40,128,Tractor,13,18,10,7,35,Friday,1,535
198,232,Pickup,10,18,8,2,31,Tuesday,1,2535
181,733,Truck,9,14,4,2,51,Wednesday,1,1816
132,70,MiniTruck,10,9,0,7,77,Friday,0,849
25,493,Truck,18,8,3,1,27,Tuesday,0,156
51,863,Pickup,11,6,18,10,53,Monday,0,246
17,222,Pickup,18,8,2,6,35,Monday,1,113
13,192,Pickup,19,16,15,1,68,Saturday,1,221
45,382,Tractor,20,9,8,5,77,Tuesday,0,323
158,654,Tractor,16,13,15,7,90,Thursday,0,1491
23,306,Pickup,8,17,6,9,51,Saturday,0,284
98,820,MiniTruck,13,19,11,10,84,Wednesday,1,1352
70,204,Truck,11,11,0,5,27,Thursday,1,552
197,618,Tractor,8,7,7,4,54,Friday,0,994
196,990,Tractor,15,16,11,3,42,Tuesday,1,2244
189,734,MiniTruck,20,4,22,6,92,Friday,0,601
145,991,Tractor,19,19,17,5,42,Thursday,0,1968
24,77,Tractor,15,11,0,9,81,Monday,1,213
158,226,Tractor,11,9,29,6,27,Monday,0,1048
151,741,Tractor,18,7,27,9,66,Monday,1,814
181,984,Pickup,15,7,10,5,61,Tuesday,0,922
188,991,Pickup,18,19,20,6,42,Saturday,1,2558
58,701,Tractor,12,13,23,5,36,Tuesday,0,576
180,991,Pickup,19,5,5,10,60,Friday,0,640
164,599,Truck,20,19,4,6,29,Tuesday,1,2200
82,191,Truck,19,14,14,1,53,Tuesday,0,855
178,89,MiniTruck,10,7,23,1,26,Thursday,1,943
188,449,Tractor,20,17,15,7,64,Friday,1,2293
26,868,Pickup,18,11,5,8,29,Monday,1,215
6,346,MiniTruck,7,6,10,3,68,Tuesday,0,70
141,984,Truck,11,19,22,1,75,Saturday,0,1953
156,931,Pickup,8,5,3,6,46,Tuesday,1,572
179,587,MiniTruck,16,13,9,4,32,Monday,1,1665
147,582,Pickup,8,5,11,1,74,Monday,1,585
170,660,Pickup,9,7,0,4,41,Saturday,1,856
21,504,Truck,10,16,15,8,53,Monday,1,282
48,399,Pickup,11,9,14,1,53,Thursday,1,368
68,251,MiniTruck,15,5,4,2,30,Saturday,1,270
139,443,Tractor,14,5,26,7,86,Thursday,1,575
147,922,Tractor,13,13,2,7,24,Friday,0,1332
31,992,Pickup,8,9,6,4,36,Monday,1,228
21,719,Pickup,9,8,26,10,53,Wednesday,0,166
23,417,Pickup,14,14,27,5,86,Thursday,0,307
180,658,Pickup,7,17,4,3,92,Friday,0,2187
28,596,Truck,18,13,27,9,64,Thursday,1,328
99,690,Pickup,15,19,1,3,55,Thursday,0,1337
159,643,Pickup,6,16,28,6,50,Monday,1,1858
69,938,MiniTruck,6,14,26,5,59,Wednesday,1,757
179,721,Truck,19,11,4,5,76,Wednesday,1,1424
187,446,Truck,9,18,6,7,82,Friday,1,2403
15,547,Tractor,7,13,22,9,71,Tuesday,0,189
45,217,Tractor,19,5,7,1,78,Monday,1,222
181,223,MiniTruck,11,18,16,7,35,Saturday,0,2309
62,401,Pickup,15,18,5,8,95,Friday,1,829
89,187,MiniTruck,17,6,9,1,69,Monday,0,423
147,818,Tractor,19,11,20,4,46,Wednesday,1,1197
132,40,Truck,13,8,20,3,96,Monday,0,818
65,642,MiniTruck,17,12,13,7,64,Thursday,1,598
56,497,MiniTruck,16,20,26,10,70,Friday,0,841
2,543,MiniTruck,14,13,9,2,81,Monday,1,85
71,675,MiniTruck,19,12,8,5,44,Tuesday,0,619
15,844,Pickup,16,14,21,3,23,Saturday,1,206
76,285,Pickup,12,16,23,1,94,Saturday,0,941
88,763,Tractor,16,19,29,6,84,Wednesday,0,1252
169,917,Tractor,10,7,15,3,53,Saturday,0,875
175,941,MiniTruck,16,6,7,6,48,Saturday,1,770
108,827,MiniTruck,11,12,18,5,79,Monday,1,982
14,907,Truck,13,10,16,2,68,Friday,1,173
106,75,Tractor,8,10,10,7,92,Thursday,0,787
81,903,Tractor,18,6,15,6,100,Tuesday,1,417
163,79,Truck,13,12,6,3,93,Tuesday,1,1433
196,818,Truck,8,17,20,7,71,Thursday,1,2401
99,24,Truck,14,10,23,6,21,Wednesday,0,731
5,712,Truck,16,11,7,6,59,Tuesday,0,64
99,535,MiniTruck,8,6,26,1,58,Wednesday,1,508
187,552,MiniTruck,12,8,10,8,65,Tuesday,0,1075
104,39,Tractor,9,8,6,1,95,Friday,0,638
32,395,Truck,12,12,24,9,99,Monday,0,339
170,130,Truck,6,7,13,8,68,Monday,1,884
122,738,Tractor,9,4,9,7,32,Saturday,1,369
160,640,Tractor,12,7,16,10,35,Wednesday,0,803
28,529,Tractor,15,10,24,5,86,Tuesday,1,287
181,439,MiniTruck,8,5,17,8,46,Saturday,1,681
85,260,Truck,6,6,29,2,93,Saturday,1,470
39,992,Truck,18,20,2,2,52,Saturday,0,570
117,323,MiniTruck,13,5,3,3,25,Wednesday,1,434
174,340,Pickup,17,7,3,1,21,Tuesday,0,866
85,386,Pickup,15,12,28,2,67,Wednesday,0,797
30,430,Pickup,13,12,26,7,81,Thursday,0,323
29,155,Truck,19,9,3,7,95,Thursday,1,230
47,645,Pickup,18,15,19,1,36,Thursday,1,561
29,928,Pickup,13,5,2,5,60,Monday,0,120
172,914,MiniTruck,14,20,22,10,32,Thursday,0,2438
124,374,Pickup,8,5,0,3,84,Thursday,1,482
43,96,Pickup,11,11,10,5,26,Friday,0,349
141,678,Pickup,12,11,2,8,76,Friday,1,1118
23,897,Pickup,13,14,3,8,22,Monday,1,233
106,56,Truck,19,6,25,10,99,Saturday,1,529
131,595,Tractor,16,18,30,6,66,Monday,0,1725
117,359,Pickup,17,15,22,8,34,Monday,0,1265
1,369,MiniTruck,19,13,17,9,67,Saturday,0,49
12,938,Tractor,13,8,26,7,33,Wednesday,0,114
49,143,Pickup,9,18,26,4,63,Monday,1,703
12,968,Truck,18,18,14,10,84,Tuesday,1,206
2,563,Truck,14,17,26,10,81,Friday,0,86
178,612,Tractor,17,8,3,7,96,Friday,1,1044
130,922,Pickup,12,11,8,7,63,Wednesday,1,1042
35,161,Pickup,15,20,9,9,60,Saturday,0,511
52,234,MiniTruck,16,15,29,3,42,Friday,1,631
