humidity_pct,wind_kmh,temp_c,rain_risk_pct,recommended_action
58,12,34,69,cover open yard
85,21,39,83,stop unloading and alert operators
73,2,37,38,monitor tarpaulin
82,8,24,33,monitor tarpaulin
47,8,37,19,normal unloading
57,20,39,26,monitor tarpaulin
85,23,26,87,stop unloading and alert operators
80,18,36,62,cover open yard
56,5,22,81,stop unloading and alert operators
67,19,21,0,normal unloading
61,10,40,33,monitor tarpaulin
50,30,37,90,stop unloading and alert operators
67,2,23,9,normal unloading
84,11,37,4,normal unloading
93,25,38,70,cover open yard
49,29,24,5,normal unloading
59,25,21,45,prepare covers
53,17,23,45,prepare covers
89,28,39,95,stop unloading and alert operators
49,17,25,22,monitor tarpaulin
66,3,25,94,stop unloading and alert operators
61,28,27,34,monitor tarpaulin
50,8,32,4,normal unloading
94,32,27,25,monitor tarpaulin
92,31,31,39,monitor tarpaulin
92,16,27,3,normal unloading
82,14,32,42,prepare covers
57,6,28,44,prepare covers
81,34,32,86,stop unloading and alert operators
93,23,20,14,normal unloading
56,13,38,33,monitor tarpaulin
42,8,39,55,prepare covers
62,22,33,77,cover open yard
72,9,32,73,cover open yard
52,18,21,90,stop unloading and alert operators
67,2,36,68,cover open yard
83,14,31,55,prepare covers
44,23,39,40,prepare covers
82,9,29,64,cover open yard
59,28,30,51,prepare covers
84,20,37,16,normal unloading
52,28,32,86,stop unloading and alert operators
87,13,39,72,cover open yard
59,27,37,0,normal unloading
59,20,26,55,prepare covers
90,22,34,56,prepare covers
68,15,36,60,cover open yard
90,12,22,36,monitor tarpaulin
72,23,22,96,stop unloading and alert operators
55,21,27,25,monitor tarpaulin
49,3,21,31,monitor tarpaulin
70,6,34,53,prepare covers
80,14,32,63,cover open yard
65,17,24,83,stop unloading and alert operators
84,2,23,99,stop unloading and alert operators
67,16,25,89,stop unloading and alert operators
73,31,21,71,cover open yard
55,9,34,17,normal unloading
91,31,36,71,cover open yard
78,22,34,78,cover open yard
92,34,33,70,cover open yard
68,12,35,57,prepare covers
56,17,40,35,monitor tarpaulin
89,35,35,80,stop unloading and alert operators
55,19,34,9,normal unloading
85,20,27,34,monitor tarpaulin
61,22,37,10,normal unloading
48,11,27,49,prepare covers
84,11,26,8,normal unloading
66,28,30,69,cover open yard
69,28,21,26,monitor tarpaulin
93,28,32,98,stop unloading and alert operators
77,3,38,48,prepare covers
70,2,31,38,monitor tarpaulin
88,26,33,68,cover open yard
87,16,35,28,monitor tarpaulin
57,29,35,3,normal unloading
64,23,32,92,stop unloading and alert operators
50,31,24,79,cover open yard
74,3,32,75,cover open yard
76,3,22,82,stop unloading and alert operators
67,10,34,23,monitor tarpaulin
43,18,32,41,prepare covers
53,31,30,43,prepare covers
88,26,28,96,stop unloading and alert operators
93,28,28,10,normal unloading
70,3,37,6,normal unloading
62,16,40,8,normal unloading
89,4,20,31,monitor tarpaulin
52,3,39,19,normal unloading
55,10,35,85,stop unloading and alert operators
47,15,34,89,stop unloading and alert operators
56,25,25,77,cover open yard
78,9,25,39,monitor tarpaulin
46,3,29,73,cover open yard
83,26,32,91,stop unloading and alert operators
52,6,38,88,stop unloading and alert operators
93,17,23,89,stop unloading and alert operators
89,21,39,15,normal unloading
90,4,31,68,cover open yard
67,25,22,64,cover open yard
81,23,20,53,prepare covers
92,33,23,55,prepare covers
63,31,24,55,prepare covers
51,35,40,34,monitor tarpaulin
79,32,34,55,prepare covers
92,19,30,31,monitor tarpaulin
93,7,28,57,prepare covers
55,31,38,78,cover open yard
82,26,30,3,normal unloading
71,22,25,62,cover open yard
53,24,28,43,prepare covers
57,19,37,1,normal unloading
73,14,22,30,monitor tarpaulin
86,28,35,71,cover open yard
88,17,35,82,stop unloading and alert operators
85,33,34,2,normal unloading
45,20,27,51,prepare covers
84,17,29,84,stop unloading and alert operators
77,25,35,70,cover open yard
73,24,33,95,stop unloading and alert operators
75,23,31,89,stop unloading and alert operators
69,19,29,32,monitor tarpaulin
54,9,26,40,prepare covers
47,13,26,27,monitor tarpaulin
87,32,28,92,stop unloading and alert operators
77,35,39,36,monitor tarpaulin
46,14,29,29,monitor tarpaulin
63,13,29,1,normal unloading
85,10,28,5,normal unloading
43,20,24,81,stop unloading and alert operators
95,33,23,1,normal unloading
76,20,35,61,cover open yard
68,23,25,6,normal unloading
56,32,23,8,normal unloading
65,33,22,73,cover open yard
80,5,24,19,normal unloading
91,21,22,31,monitor tarpaulin
47,28,39,76,cover open yard
90,16,36,48,prepare covers
68,30,29,75,cover open yard
67,21,38,79,cover open yard
43,8,26,80,stop unloading and alert operators
53,18,22,20,monitor tarpaulin
55,13,37,9,normal unloading
50,2,33,57,prepare covers
84,32,29,4,normal unloading
54,20,29,89,stop unloading and alert operators
95,31,22,87,stop unloading and alert operators
54,18,40,75,cover open yard
82,14,33,14,normal unloading
74,16,40,19,normal unloading
57,11,22,7,normal unloading
50,21,39,95,stop unloading and alert operators
92,20,34,15,normal unloading
69,21,32,34,monitor tarpaulin
72,33,34,10,normal unloading
78,4,33,94,stop unloading and alert operators
60,18,20,11,normal unloading
54,3,28,73,cover open yard
42,13,35,66,cover open yard
81,30,28,23,monitor tarpaulin
77,29,40,62,cover open yard
45,32,31,52,prepare covers
61,22,23,20,monitor tarpaulin
61,28,35,36,monitor tarpaulin
82,27,37,4,normal unloading
69,7,30,32,monitor tarpaulin
60,9,32,65,cover open yard
92,2,37,59,prepare covers
66,5,26,66,cover open yard
63,33,40,56,prepare covers
88,5,26,34,monitor tarpaulin
75,10,29,56,prepare covers
84,33,23,3,normal unloading
80,17,25,39,monitor tarpaulin
75,2,37,52,prepare covers
45,16,23,59,prepare covers
47,11,35,91,stop unloading and alert operators
58,34,28,53,prepare covers
93,32,35,31,monitor tarpaulin
69,11,32,24,monitor tarpaulin
78,34,24,8,normal unloading
57,28,30,100,stop unloading and alert operators
72,19,20,36,monitor tarpaulin
86,21,38,74,cover open yard
82,33,24,57,prepare covers
74,32,31,42,prepare covers
75,26,34,41,prepare covers
95,14,27,73,cover open yard
64,16,33,5,normal unloading
60,32,32,49,prepare covers
82,11,35,4,normal unloading
48,34,38,42,prepare covers
95,8,34,12,normal unloading
73,31,20,92,stop unloading and alert operators
49,28,40,19,normal unloading
44,32,28,43,prepare covers
79,27,40,10,normal unloading
94,23,37,48,prepare covers
60,33,37,4,normal unloading
79,6,27,80,stop unloading and alert operators
83,20,27,95,stop unloading and alert operators
45,29,23,97,stop unloading and alert operators
80,8,34,21,monitor tarpaulin
84,21,20,5,normal unloading
60,5,29,45,prepare covers
63,29,24,31,monitor tarpaulin
73,28,38,87,stop unloading and alert operators
90,13,25,22,monitor tarpaulin
45,26,39,87,stop unloading and alert operators
55,33,38,18,normal unloading
54,31,40,32,monitor tarpaulin
69,18,20,59,prepare covers
58,12,22,56,prepare covers
62,21,40,54,prepare covers
84,18,34,38,monitor tarpaulin
52,26,35,13,normal unloading
55,26,38,45,prepare covers
76,20,29,2,normal unloading
93,27,28,1,normal unloading
76,5,39,95,stop unloading and alert operators
71,20,27,77,cover open yard
91,24,27,81,stop unloading and alert operators
52,18,24,80,stop unloading and alert operators
46,4,29,100,stop unloading and alert operators
68,4,38,46,prepare covers
86,10,22,37,monitor tarpaulin
60,28,25,25,monitor tarpaulin
48,25,36,64,cover open yard
57,12,28,61,cover open yard
91,20,30,14,normal unloading
69,6,24,96,stop unloading and alert operators
54,27,37,46,prepare covers
45,27,20,33,monitor tarpaulin
74,9,34,47,prepare covers
83,18,38,48,prepare covers
92,25,23,86,stop unloading and alert operators
54,32,20,79,cover open yard
75,22,39,28,monitor tarpaulin
81,6,40,59,prepare covers
84,21,40,52,prepare covers
47,10,21,4,normal unloading
59,33,23,12,normal unloading
55,10,32,58,prepare covers
63,28,38,95,stop unloading and alert operators
86,11,33,83,stop unloading and alert operators
46,33,39,52,prepare covers
57,4,31,27,monitor tarpaulin
68,30,27,46,prepare covers
46,25,37,82,stop unloading and alert operators
62,5,32,35,monitor tarpaulin
52,9,34,11,normal unloading
82,15,40,81,stop unloading and alert operators
78,3,21,100,stop unloading and alert operators
61,17,24,100,stop unloading and alert operators
76,15,22,97,stop unloading and alert operators
75,15,38,27,monitor tarpaulin
92,16,30,99,stop unloading and alert operators
49,2,28,18,normal unloading
48,18,25,14,normal unloading
82,3,24,1,normal unloading
62,17,38,41,prepare covers
41,13,28,6,normal unloading
48,28,36,14,normal unloading
87,6,35,57,prepare covers
89,25,36,75,cover open yard
46,30,36,28,monitor tarpaulin
79,4,36,38,monitor tarpaulin
69,3,21,61,cover open yard
94,27,33,87,stop unloading and alert operators
46,33,34,9,normal unloading
45,22,39,18,normal unloading
44,10,28,79,cover open yard
80,22,32,76,cover open yard
73,20,34,64,cover open yard
78,29,23,89,stop unloading and alert operators
47,15,33,57,prepare covers
54,28,30,58,prepare covers
65,28,23,40,prepare covers
67,22,28,47,prepare covers
49,32,22,11,normal unloading
93,7,22,55,prepare covers
46,25,24,71,cover open yard
43,23,23,52,prepare covers
62,29,21,36,monitor tarpaulin
78,21,31,13,normal unloading
76,34,26,19,normal unloading
82,32,27,13,normal unloading
62,25,23,97,stop unloading and alert operators
57,16,33,71,cover open yard
89,3,39,84,stop unloading and alert operators
93,19,20,23,monitor tarpaulin
57,21,30,44,prepare covers
40,13,24,72,cover open yard
82,27,22,18,normal unloading
87,3,22,95,stop unloading and alert operators
73,15,32,53,prepare covers
69,23,25,47,prepare covers
59,22,38,76,cover open yard
45,5,24,20,monitor tarpaulin
88,5,22,34,monitor tarpaulin
68,29,35,77,cover open yard
68,28,28,27,monitor tarpaulin
88,34,23,44,prepare covers
67,9,29,86,stop unloading and alert operators
83,33,36,85,stop unloading and alert operators
59,4,27,50,prepare covers
78,5,20,26,monitor tarpaulin
59,15,24,97,stop unloading and alert operators
56,20,30,15,normal unloading
40,33,33,22,monitor tarpaulin
48,26,37,90,stop unloading and alert operators
54,34,37,85,stop unloading and alert operators
91,24,22,50,prepare covers
95,4,33,2,normal unloading
69,6,30,73,cover open yard
67,27,40,53,prepare covers
58,9,32,2,normal unloading
60,12,39,58,prepare covers
93,25,22,55,prepare covers
94,8,27,55,prepare covers
77,27,36,10,normal unloading
65,21,30,28,monitor tarpaulin
61,12,22,65,cover open yard
80,9,36,65,cover open yard
52,24,31,93,stop unloading and alert operators
92,11,27,13,normal unloading
49,18,26,22,monitor tarpaulin
78,11,40,9,normal unloading
51,33,34,96,stop unloading and alert operators
76,30,38,82,stop unloading and alert operators
80,22,40,40,prepare covers
49,30,22,60,cover open yard
68,21,28,75,cover open yard
43,24,36,9,normal unloading
59,31,34,4,normal unloading
43,25,29,9,normal unloading
81,7,39,76,cover open yard
72,26,34,74,cover open yard
75,4,34,73,cover open yard
81,14,30,77,cover open yard
70,34,24,7,normal unloading
68,8,30,91,stop unloading and alert operators
45,34,40,22,monitor tarpaulin
42,17,34,56,prepare covers
73,35,39,20,monitor tarpaulin
63,25,29,49,prepare covers
66,23,39,6,normal unloading
90,23,22,42,prepare covers
46,26,29,32,monitor tarpaulin
86,11,30,10,normal unloading
77,11,31,39,monitor tarpaulin
81,27,24,76,cover open yard
85,7,29,71,cover open yard
64,23,24,85,stop unloading and alert operators
84,35,22,82,stop unloading and alert operators
82,29,36,46,prepare covers
41,25,29,23,monitor tarpaulin
53,23,35,24,monitor tarpaulin
54,10,24,9,normal unloading
58,8,36,98,stop unloading and alert operators
74,35,21,84,stop unloading and alert operators
61,10,39,48,prepare covers
49,12,25,88,stop unloading and alert operators
89,12,34,5,normal unloading
66,25,27,56,prepare covers
79,20,34,29,monitor tarpaulin
74,17,29,100,stop unloading and alert operators
70,14,31,86,stop unloading and alert operators
76,30,34,98,stop unloading and alert operators
58,26,36,67,cover open yard
66,12,26,77,cover open yard
48,18,21,82,stop unloading and alert operators
70,25,37,13,normal unloading
85,35,23,36,monitor tarpaulin
45,12,28,57,prepare covers
72,11,33,11,normal unloading
54,30,31,3,normal unloading
66,5,32,64,cover open yard
63,17,32,10,normal unloading
63,16,20,40,prepare covers
46,23,24,17,normal unloading
42,20,35,89,stop unloading and alert operators
93,10,35,57,prepare covers
79,2,22,2,normal unloading
56,15,24,70,cover open yard
86,35,33,14,normal unloading
89,20,27,38,monitor tarpaulin
47,5,27,53,prepare covers
80,31,22,14,normal unloading
93,33,39,68,cover open yard
41,34,38,30,monitor tarpaulin
85,11,29,54,prepare covers
40,24,27,73,cover open yard
66,13,22,67,cover open yard
63,6,36,69,cover open yard
72,34,37,2,normal unloading
64,32,21,81,stop unloading and alert operators
64,25,28,95,stop unloading and alert operators
41,24,22,44,prepare covers
55,8,38,94,stop unloading and alert operators
88,23,24,5,normal unloading
62,23,40,22,monitor tarpaulin
93,31,35,80,stop unloading and alert operators
51,10,22,91,stop unloading and alert operators
89,31,21,37,monitor tarpaulin
52,4,26,5,normal unloading
60,21,36,50,prepare covers
92,32,28,4,normal unloading
88,14,29,45,prepare covers
95,5,40,42,prepare covers
57,9,31,55,prepare covers
65,30,32,43,prepare covers
51,33,35,47,prepare covers
91,35,28,10,normal unloading
86,29,22,55,prepare covers
78,13,37,37,monitor tarpaulin
60,8,22,41,prepare covers
82,20,29,57,prepare covers
78,29,25,88,stop unloading and alert operators
68,24,34,5,normal unloading
86,24,39,55,prepare covers
57,5,22,85,stop unloading and alert operators
80,27,31,65,cover open yard
91,12,20,18,normal unloading
94,30,21,16,normal unloading
44,17,40,46,prepare covers
63,26,38,4,normal unloading
78,11,34,47,prepare covers
63,30,22,73,cover open yard
48,35,31,50,prepare covers
60,19,27,14,normal unloading
41,13,35,66,cover open yard
64,9,28,99,stop unloading and alert operators
56,30,26,78,cover open yard
58,33,26,15,normal unloading
48,6,34,22,monitor tarpaulin
85,30,22,87,stop unloading and alert operators
94,22,31,90,stop unloading and alert operators
44,20,29,20,monitor tarpaulin
85,13,31,65,cover open yard
54,9,26,17,normal unloading
55,33,20,46,prepare covers
75,25,34,70,cover open yard
48,7,22,39,monitor tarpaulin
65,32,36,52,prepare covers
89,28,38,9,normal unloading
48,22,40,9,normal unloading
68,31,36,44,prepare covers
48,13,24,55,prepare covers
72,5,23,66,cover open yard
49,21,25,20,monitor tarpaulin
60,16,31,66,cover open yard
58,7,28,25,monitor tarpaulin
80,19,24,80,stop unloading and alert operators
59,7,36,82,stop unloading and alert operators
50,11,25,84,stop unloading and alert operators
79,23,38,5,normal unloading
92,3,22,5,normal unloading
81,18,40,26,monitor tarpaulin
89,28,39,81,stop unloading and alert operators
41,33,40,69,cover open yard
58,21,35,31,monitor tarpaulin
91,27,29,58,prepare covers
44,5,25,56,prepare covers
66,32,34,26,monitor tarpaulin
61,11,30,91,stop unloading and alert operators
60,24,32,16,normal unloading
88,25,36,71,cover open yard
46,22,27,59,prepare covers
47,19,34,31,monitor tarpaulin
49,8,21,37,monitor tarpaulin
64,28,27,20,monitor tarpaulin
92,22,38,92,stop unloading and alert operators
60,14,25,63,cover open yard
72,31,35,39,monitor tarpaulin
71,3,22,50,prepare covers
72,31,27,27,monitor tarpaulin
77,24,21,6,normal unloading
58,33,39,83,stop unloading and alert operators
83,32,29,68,cover open yard
40,8,33,17,normal unloading
56,25,32,46,prepare covers
42,27,21,72,cover open yard
75,14,31,70,cover open yard
58,6,32,64,cover open yard
68,19,39,87,stop unloading and alert operators
79,9,24,12,normal unloading
65,25,30,71,cover open yard
63,11,26,77,cover open yard
72,27,36,5,normal unloading
42,4,24,91,stop unloading and alert operators
61,32,36,58,prepare covers
49,34,24,41,prepare covers
79,22,25,50,prepare covers
79,21,38,43,prepare covers
72,34,37,62,cover open yard
85,21,35,2,normal unloading
63,23,23,53,prepare covers
77,21,40,3,normal unloading
78,32,28,83,stop unloading and alert operators
90,16,21,74,cover open yard
70,12,36,80,stop unloading and alert operators
86,26,24,87,stop unloading and alert operators
55,4,38,89,stop unloading and alert operators
47,14,20,56,prepare covers
60,28,24,52,prepare covers
84,15,33,64,cover open yard
89,32,21,90,stop unloading and alert operators
48,35,26,71,cover open yard
60,32,36,48,prepare covers
60,13,34,68,cover open yard
61,24,40,88,stop unloading and alert operators
56,32,26,31,monitor tarpaulin
57,21,27,38,monitor tarpaulin
89,20,26,88,stop unloading and alert operators
85,33,30,61,cover open yard
62,19,29,15,normal unloading
76,26,32,44,prepare covers
89,11,29,5,normal unloading
58,7,31,56,prepare covers
81,18,35,27,monitor tarpaulin
52,19,37,89,stop unloading and alert operators
57,10,23,78,cover open yard
87,17,27,6,normal unloading
82,35,27,81,stop unloading and alert operators
54,5,23,52,prepare covers
61,32,23,87,stop unloading and alert operators
89,10,20,70,cover open yard
50,28,40,60,cover open yard
70,14,29,41,prepare covers
58,5,22,83,stop unloading and alert operators
76,16,37,94,stop unloading and alert operators
86,4,25,53,prepare covers
93,13,21,50,prepare covers
90,33,25,95,stop unloading and alert operators
95,20,21,1,normal unloading
59,8,30,36,monitor tarpaulin
69,35,35,17,normal unloading
94,34,34,34,monitor tarpaulin
52,9,30,20,monitor tarpaulin
86,31,40,32,monitor tarpaulin
85,13,20,94,stop unloading and alert operators
61,20,38,86,stop unloading and alert operators
88,14,25,78,cover open yard
94,27,33,65,cover open yard
60,7,32,85,stop unloading and alert operators
46,13,24,61,cover open yard
60,17,20,33,monitor tarpaulin
64,17,34,96,stop unloading and alert operators
57,23,29,74,cover open yard
86,2,28,83,stop unloading and alert operators
63,17,21,85,stop unloading and alert operators
47,31,29,20,monitor tarpaulin
65,34,29,88,stop unloading and alert operators
47,20,31,78,cover open yard
54,16,24,61,cover open yard
49,31,39,47,prepare covers
66,32,37,85,stop unloading and alert operators
92,15,27,87,stop unloading and alert operators
88,7,36,57,prepare covers
73,25,22,72,cover open yard
47,5,37,64,cover open yard
52,11,25,41,prepare covers
94,35,34,14,normal unloading
83,15,38,62,cover open yard
45,34,34,7,normal unloading
69,10,36,53,prepare covers
69,5,37,59,prepare covers
83,21,20,50,prepare covers
56,2,26,74,cover open yard
44,4,33,44,prepare covers
84,6,37,7,normal unloading
44,32,21,36,monitor tarpaulin
66,13,24,98,stop unloading and alert operators
81,28,31,48,prepare covers
68,26,32,10,normal unloading
83,10,40,44,prepare covers
47,13,37,50,prepare covers
73,10,27,0,normal unloading
88,3,29,59,prepare covers
83,29,37,48,prepare covers
92,16,27,58,prepare covers
62,11,28,24,monitor tarpaulin
86,9,21,84,stop unloading and alert operators
66,3,27,26,monitor tarpaulin
44,8,39,4,normal unloading
68,5,27,94,stop unloading and alert operators
42,27,34,29,monitor tarpaulin
74,15,21,17,normal unloading
72,20,27,93,stop unloading and alert operators
76,22,38,76,cover open yard
89,22,27,38,monitor tarpaulin
49,35,27,52,prepare covers
59,19,21,71,cover open yard
77,13,40,86,stop unloading and alert operators
67,33,21,44,prepare covers
81,26,36,40,prepare covers
84,28,33,19,normal unloading
59,26,25,96,stop unloading and alert operators
74,32,27,28,monitor tarpaulin
59,11,34,7,normal unloading
75,28,33,71,cover open yard
73,10,32,31,monitor tarpaulin
56,15,30,82,stop unloading and alert operators
45,30,31,11,normal unloading
74,14,21,34,monitor tarpaulin
64,4,22,24,monitor tarpaulin
91,15,35,26,monitor tarpaulin
95,23,29,1,normal unloading
53,14,23,95,stop unloading and alert operators
88,32,27,89,stop unloading and alert operators
78,15,32,30,monitor tarpaulin
75,22,29,48,prepare covers
69,24,29,33,monitor tarpaulin
63,34,35,59,prepare covers
46,32,30,26,monitor tarpaulin
63,22,33,5,normal unloading
76,16,24,2,normal unloading
56,28,29,19,normal unloading
52,23,27,48,prepare covers
76,17,35,70,cover open yard
81,23,28,97,stop unloading and alert operators
92,33,40,94,stop unloading and alert operators
71,31,25,93,stop unloading and alert operators
90,24,25,17,normal unloading
86,33,25,69,cover open yard
81,5,36,4,normal unloading
93,6,21,97,stop unloading and alert operators
40,28,24,80,stop unloading and alert operators
54,6,24,1,normal unloading
53,34,34,47,prepare covers
43,32,35,2,normal unloading
40,28,20,2,normal unloading
73,19,37,36,monitor tarpaulin
41,34,33,22,monitor tarpaulin
46,8,36,19,normal unloading
55,14,39,67,cover open yard
56,24,28,50,prepare covers
45,25,32,58,prepare covers
76,17,27,38,monitor tarpaulin
83,7,40,83,stop unloading and alert operators
88,4,22,51,prepare covers
64,26,37,60,cover open yard
43,2,25,10,normal unloading
71,29,40,100,stop unloading and alert operators
61,8,36,5,normal unloading
54,15,38,60,cover open yard
57,4,22,87,stop unloading and alert operators
57,4,25,40,prepare covers
41,15,38,18,normal unloading
88,27,22,38,monitor tarpaulin
50,17,38,49,prepare covers
83,23,32,96,stop unloading and alert operators
87,10,22,64,cover open yard
87,24,21,12,normal unloading
67,16,22,43,prepare covers
78,27,30,3,normal unloading
80,19,34,62,cover open yard
54,24,37,48,prepare covers
67,13,38,84,stop unloading and alert operators
64,7,39,37,monitor tarpaulin
91,17,22,10,normal unloading
57,11,32,91,stop unloading and alert operators
90,11,32,40,prepare covers
63,8,22,0,normal unloading
59,30,31,97,stop unloading and alert operators
57,8,24,11,normal unloading
51,29,34,71,cover open yard
75,34,33,13,normal unloading
41,7,31,70,cover open yard
45,22,32,1,normal unloading
58,28,32,99,stop unloading and alert operators
45,17,38,66,cover open yard
50,26,25,17,normal unloading
57,21,28,63,cover open yard
49,6,25,55,prepare covers
57,28,29,61,cover open yard
90,6,31,32,monitor tarpaulin
55,33,39,78,cover open yard
52,31,23,17,normal unloading
59,2,32,42,prepare covers
93,26,30,56,prepare covers
61,29,40,76,cover open yard
48,21,30,77,cover open yard
84,14,35,40,prepare covers
51,27,30,37,monitor tarpaulin
87,33,38,100,stop unloading and alert operators
55,22,32,35,monitor tarpaulin
92,27,31,14,normal unloading
76,14,38,69,cover open yard
51,3,34,90,stop unloading and alert operators
53,30,29,88,stop unloading and alert operators
44,28,35,17,normal unloading
80,21,27,32,monitor tarpaulin
82,11,33,48,prepare covers
44,30,39,61,cover open yard
77,27,37,64,cover open yard
95,28,37,4,normal unloading
90,25,37,76,cover open yard
80,7,23,98,stop unloading and alert operators
55,24,25,82,stop unloading and alert operators
79,4,38,82,stop unloading and alert operators
83,27,30,55,prepare covers
46,2,23,33,monitor tarpaulin
54,34,36,71,cover open yard
77,16,34,47,prepare covers
65,31,38,88,stop unloading and alert operators
72,11,31,3,normal unloading
70,8,29,53,prepare covers
45,9,24,44,prepare covers
59,23,34,100,stop unloading and alert operators
53,35,35,44,prepare covers
70,8,34,92,stop unloading and alert operators
84,30,30,8,normal unloading
59,4,23,2,normal unloading
94,23,40,13,normal unloading
83,12,27,66,cover open yard
51,12,30,71,cover open yard
67,31,27,51,prepare covers
80,13,25,81,stop unloading and alert operators
82,29,32,3,normal unloading
87,14,34,75,cover open yard
67,26,20,90,stop unloading and alert operators
53,15,28,96,stop unloading and alert operators
85,6,38,13,normal unloading
91,13,31,41,prepare covers
52,31,23,33,monitor tarpaulin
82,33,36,81,stop unloading and alert operators
60,26,39,50,prepare covers
77,9,31,45,prepare covers
94,31,39,22,monitor tarpaulin
92,21,39,75,cover open yard
45,10,30,15,normal unloading
55,21,23,23,monitor tarpaulin
63,11,36,49,prepare covers
66,10,38,49,prepare covers
67,13,35,81,stop unloading and alert operators
74,13,37,21,monitor tarpaulin
71,20,24,23,monitor tarpaulin
60,30,39,6,normal unloading
95,24,20,62,cover open yard
48,14,32,71,cover open yard
72,33,33,87,stop unloading and alert operators
71,28,34,62,cover open yard
50,7,38,3,normal unloading
90,16,29,4,normal unloading
57,16,37,36,monitor tarpaulin
50,31,38,95,stop unloading and alert operators
89,33,37,65,cover open yard
47,9,28,99,stop unloading and alert operators
74,25,37,96,stop unloading and alert operators
42,30,37,27,monitor tarpaulin
67,8,40,96,stop unloading and alert operators
55,21,21,57,prepare covers
56,24,22,56,prepare covers
95,9,27,26,monitor tarpaulin
91,24,39,80,stop unloading and alert operators
67,12,39,17,normal unloading
90,15,26,7,normal unloading
76,24,37,35,monitor tarpaulin
78,12,30,90,stop unloading and alert operators
58,20,38,34,monitor tarpaulin
94,34,23,17,normal unloading
88,28,21,35,monitor tarpaulin
95,10,24,31,monitor tarpaulin
49,22,27,97,stop unloading and alert operators
93,27,35,18,normal unloading
76,19,40,53,prepare covers
64,30,22,81,stop unloading and alert operators
90,7,32,65,cover open yard
87,19,31,58,prepare covers
71,22,38,0,normal unloading
95,7,34,81,stop unloading and alert operators
82,24,22,68,cover open yard
65,15,33,27,monitor tarpaulin
71,19,30,36,monitor tarpaulin
61,10,38,62,cover open yard
90,23,21,5,normal unloading
46,31,20,15,normal unloading
94,12,34,58,prepare covers
40,29,26,88,stop unloading and alert operators
48,21,25,35,monitor tarpaulin
45,25,28,10,normal unloading
63,12,21,50,prepare covers
80,21,27,54,prepare covers
81,7,23,0,normal unloading
53,32,22,16,normal unloading
77,16,36,87,stop unloading and alert operators
68,2,20,89,stop unloading and alert operators
