variety,total_bags,damaged,wet,moisture_pct,humidity_pct,rain_risk_pct,source
Swarna,361,31,13,13.6,55,50,inspection
IR-64,230,15,6,15.6,54,65,inspection
IR-64,457,14,3,13.4,91,18,inspection
IR-64,148,3,5,14.7,91,9,inspection
Swarna,297,21,13,15.5,87,57,inspection
Jasmine,385,14,8,16.7,70,80,inspection
Swarna,286,4,7,14.8,67,75,inspection
Basmati,296,25,1,13.9,53,47,inspection
Sona Masoori,374,23,17,14.6,74,59,inspection
Jasmine,81,2,2,13.9,86,83,inspection
Ponni,137,11,5,16.6,78,13,inspection
Jasmine,103,3,2,14.2,61,5,inspection
Swarna,328,14,4,14.3,60,46,inspection
Swarna,456,36,14,13.3,88,6,inspection
Sona Masoori,228,8,8,12.0,93,49,inspection
Jasmine,368,22,2,16.1,71,10,inspection
Basmati,218,9,6,16.6,94,84,inspection
Sona Masoori,218,18,7,14.5,91,42,inspection
Jasmine,410,28,10,16.3,55,82,inspection
Sona Masoori,245,23,5,13.1,63,43,inspection
IR-64,130,7,3,12.3,68,12,inspection
Jasmine,329,7,6,11.7,71,79,inspection
IR-64,152,11,0,15.9,89,21,inspection
Basmati,406,14,15,15.3,78,78,inspection
Swarna,179,16,1,14.3,69,60,inspection
Jasmine,352,28,8,16.7,79,36,inspection
Swarna,142,12,0,15.8,88,17,inspection
Swarna,250,21,10,14.4,56,91,inspection
Basmati,102,9,0,15.5,67,57,inspection
Swarna,106,9,4,16.5,64,57,inspection
Swarna,87,3,0,13.6,73,30,inspection
IR-64,74,5,2,13.2,56,91,inspection
IR-64,79,6,2,13.0,80,89,inspection
Swarna,289,9,12,14.8,55,2,inspection
Ponni,432,34,5,14.7,77,14,inspection
Sona Masoori,84,4,0,12.8,90,79,inspection
Swarna,365,22,13,14.3,90,65,inspection
Basmati,279,17,2,11.5,72,30,inspection
Jasmine,103,9,2,14.3,73,8,inspection
Ponni,343,23,16,11.6,80,5,inspection
Basmati,442,14,14,11.6,54,44,inspection
Sona Masoori,455,6,12,14.6,71,17,inspection
Jasmine,149,14,3,15.9,93,59,inspection
IR-64,475,6,4,12.2,95,58,inspection
IR-64,81,3,3,13.2,69,65,inspection
Swarna,189,6,8,11.7,91,24,inspection
Sona Masoori,395,19,7,13.3,57,47,inspection
Swarna,257,18,4,13.3,61,63,inspection
Ponni,196,9,9,15.7,77,10,inspection
IR-64,339,13,5,13.1,56,10,inspection
Swarna,368,18,8,15.3,60,88,inspection
Jasmine,240,16,9,14.8,77,35,inspection
Sona Masoori,98,5,3,15.1,75,46,inspection
IR-64,75,6,0,12.3,88,86,inspection
Sona Masoori,180,8,5,15.6,73,46,inspection
Ponni,138,6,0,15.1,73,47,inspection
IR-64,331,11,15,13.4,70,83,inspection
Sona Masoori,436,40,2,12.5,83,49,inspection
Basmati,420,30,20,13.9,89,36,inspection
IR-64,122,3,4,12.2,54,57,inspection
Sona Masoori,474,19,1,15.1,70,85,inspection
Ponni,208,15,7,16.2,60,91,inspection
IR-64,466,45,18,13.4,64,15,inspection
IR-64,464,28,10,14.1,73,70,inspection
Ponni,126,4,6,14.7,55,8,inspection
Jasmine,305,5,14,14.3,76,73,inspection
Jasmine,97,3,4,13.9,93,66,inspection
Ponni,387,21,16,14.6,58,55,inspection
Sona Masoori,325,12,11,12.3,60,20,inspection
Basmati,325,8,15,16.2,55,32,inspection
Basmati,124,2,3,14.8,89,68,inspection
Ponni,357,26,10,12.3,92,79,inspection
Ponni,81,1,2,15.9,51,10,inspection
Ponni,195,12,0,15.0,86,53,inspection
Jasmine,339,10,13,13.0,69,61,inspection
Swarna,212,5,4,13.9,94,7,inspection
Swarna,164,14,2,13.3,59,40,inspection
Basmati,264,15,4,12.2,73,65,inspection
Swarna,122,2,1,12.9,65,18,inspection
Swarna,375,35,13,13.7,60,41,inspection
IR-64,450,24,6,12.3,82,59,inspection
Sona Masoori,106,10,1,16.5,82,58,inspection
Basmati,84,7,2,11.8,81,76,inspection
Swarna,206,4,2,14.3,56,55,inspection
Basmati,451,6,12,13.6,52,51,inspection
Basmati,343,17,9,13.0,74,64,inspection
Ponni,408,18,16,14.7,58,12,inspection
Basmati,345,22,6,16.5,59,25,inspection
Sona Masoori,83,6,2,11.7,95,42,inspection
IR-64,370,34,5,16.2,58,41,inspection
Swarna,375,15,15,15.4,69,75,inspection
Ponni,310,25,5,15.3,69,60,inspection
Jasmine,116,9,4,16.7,87,39,inspection
Jasmine,382,37,14,11.6,80,33,inspection
Ponni,355,18,9,12.7,53,74,inspection
Jasmine,377,31,4,15.6,74,18,inspection
Ponni,418,15,3,12.1,51,56,inspection
Jasmine,164,14,6,13.7,89,60,inspection
Sona Masoori,421,16,13,12.2,63,71,inspection
Ponni,252,23,4,13.2,61,58,inspection
Basmati,406,33,5,15.6,93,82,inspection
Swarna,158,5,7,16.6,67,71,inspection
Basmati,454,33,7,13.0,63,88,inspection
Basmati,346,7,11,16.4,67,36,inspection
Swarna,262,3,12,15.8,59,37,inspection
Sona Masoori,237,18,2,16.4,91,32,inspection
Ponni,198,4,6,16.4,94,34,inspection
Ponni,182,5,2,12.8,92,67,inspection
Sona Masoori,271,19,1,13.3,80,12,inspection
Ponni,140,9,5,13.7,80,61,inspection
Basmati,224,15,2,13.0,53,11,inspection
Jasmine,430,20,18,16.0,52,22,inspection
Sona Masoori,488,46,23,13.6,81,23,inspection
Basmati,79,1,3,11.5,86,77,inspection
Basmati,292,15,13,16.7,84,67,inspection
Ponni,299,7,6,12.9,57,42,inspection
Basmati,427,26,16,12.5,71,37,inspection
IR-64,372,20,1,16.0,75,54,inspection
Jasmine,108,4,1,12.5,58,61,inspection
Basmati,256,9,9,12.7,67,42,inspection
Sona Masoori,193,3,1,15.0,94,30,inspection
Basmati,141,11,4,13.6,82,90,inspection
Jasmine,211,20,5,13.4,64,28,inspection
Swarna,442,32,20,16.7,73,53,inspection
Ponni,470,33,14,15.0,63,31,inspection
Sona Masoori,329,5,9,13.9,95,46,inspection
Sona Masoori,484,29,3,14.4,82,25,inspection
Basmati,497,14,14,14.3,57,87,inspection
Sona Masoori,321,7,6,13.9,53,58,inspection
Ponni,89,6,1,14.5,93,39,inspection
Sona Masoori,441,21,15,12.7,54,5,inspection
Ponni,90,1,1,16.5,54,60,inspection
IR-64,452,19,20,14.9,91,53,inspection
Swarna,253,22,1,13.5,93,84,inspection
Basmati,120,6,4,12.4,84,50,inspection
IR-64,487,25,17,11.5,51,38,inspection
Swarna,332,17,2,13.5,64,31,inspection
IR-64,431,20,16,15.6,52,84,inspection
Sona Masoori,183,2,5,12.6,56,76,inspection
Jasmine,84,4,2,12.8,52,51,inspection
Sona Masoori,131,10,4,14.2,68,29,inspection
Basmati,355,11,15,14.7,93,41,inspection
Jasmine,326,5,15,12.7,69,35,inspection
Jasmine,149,8,7,14.8,77,71,inspection
Jasmine,403,29,8,13.5,83,40,inspection
Basmati,252,7,2,12.5,84,60,inspection
Jasmine,133,6,2,15.8,53,71,inspection
Ponni,128,5,0,13.6,66,26,inspection
Swarna,493,41,1,13.5,84,92,inspection
Swarna,404,10,15,14.7,52,9,inspection
Jasmine,403,35,6,14.5,80,26,inspection
Sona Masoori,168,16,4,16.5,57,95,inspection
IR-64,416,38,11,14.7,63,50,inspection
Basmati,254,9,4,14.0,91,45,inspection
Swarna,298,27,5,12.0,80,40,inspection
Swarna,83,1,1,14.5,64,94,inspection
Ponni,356,9,4,15.3,68,19,inspection
Ponni,486,46,8,12.8,85,83,inspection
Swarna,430,10,17,14.9,81,58,inspection
IR-64,131,12,3,15.3,81,23,inspection
Jasmine,90,1,0,14.3,54,85,inspection
IR-64,491,11,5,14.8,54,90,inspection
Swarna,251,23,11,11.8,90,85,inspection
Jasmine,309,14,0,11.6,84,70,inspection
Jasmine,200,11,6,14.3,68,2,inspection
Swarna,472,43,12,16.5,61,13,inspection
IR-64,158,5,3,14.8,66,45,inspection
Basmati,267,8,9,13.9,65,89,inspection
Sona Masoori,394,7,7,16.8,91,4,inspection
Ponni,303,7,7,11.8,50,89,inspection
Swarna,390,35,17,15.7,86,12,inspection
IR-64,168,8,0,16.3,94,72,inspection
Sona Masoori,410,28,3,16.4,84,72,inspection
Basmati,68,5,2,16.6,87,18,inspection
Swarna,99,6,4,13.1,86,30,inspection
Jasmine,336,25,8,13.3,58,88,inspection
Basmati,87,3,3,12.0,64,9,inspection
Ponni,263,17,10,16.6,70,3,inspection
Swarna,311,15,10,12.7,85,48,inspection
Jasmine,254,20,9,12.0,89,37,inspection
Sona Masoori,197,4,3,12.3,95,81,inspection
Basmati,114,4,1,12.0,69,56,inspection
IR-64,104,6,2,12.5,78,71,inspection
Sona Masoori,105,6,1,13.4,55,76,inspection
Swarna,66,4,1,13.0,74,10,inspection
IR-64,352,8,4,14.3,93,48,inspection
Basmati,312,10,4,12.3,60,55,inspection
Sona Masoori,244,16,7,12.8,65,92,inspection
IR-64,294,28,4,12.1,69,0,inspection
Ponni,254,10,10,15.8,71,56,inspection
Jasmine,364,34,3,12.2,70,77,inspection
Basmati,150,11,4,16.6,70,37,inspection
Ponni,460,38,9,12.8,74,35,inspection
Sona Masoori,348,24,9,12.6,84,23,inspection
Jasmine,296,24,12,16.5,63,56,inspection
Sona Masoori,479,26,15,16.0,76,86,inspection
IR-64,189,15,0,15.0,95,54,inspection
Ponni,305,28,13,14.6,84,64,inspection
Swarna,338,30,9,11.7,73,89,inspection
Jasmine,103,7,0,12.1,65,84,inspection
Ponni,82,5,3,14.5,91,86,inspection
Basmati,467,15,11,13.8,50,12,inspection
Ponni,345,17,6,14.6,86,28,inspection
Jasmine,361,36,8,15.2,59,44,inspection
Basmati,272,23,9,16.4,55,14,inspection
Basmati,219,11,5,13.3,63,66,inspection
Swarna,429,15,17,15.2,70,8,inspection
Sona Masoori,71,5,0,16.0,91,13,inspection
Jasmine,184,7,3,14.2,85,20,inspection
Swarna,178,4,5,15.7,90,23,inspection
Swarna,74,4,1,15.4,62,57,inspection
Jasmine,169,10,6,12.6,95,8,inspection
Ponni,155,3,5,13.4,62,58,inspection
Swarna,330,14,6,16.6,70,76,inspection
Sona Masoori,238,6,8,13.4,79,79,inspection
Basmati,374,14,4,14.6,93,17,inspection
Sona Masoori,153,6,4,13.5,59,65,inspection
Ponni,256,14,11,13.7,81,81,inspection
IR-64,344,9,14,12.4,68,17,inspection
Ponni,87,1,3,16.1,50,62,inspection
Ponni,318,17,11,15.0,76,87,inspection
Swarna,310,25,3,12.4,86,3,inspection
Sona Masoori,200,16,5,12.7,68,21,inspection
Swarna,341,11,9,14.2,86,14,inspection
Basmati,337,16,3,15.9,52,92,inspection
Swarna,112,4,5,15.4,91,31,inspection
Swarna,194,17,1,13.3,55,56,inspection
IR-64,167,6,5,15.8,87,88,inspection
Jasmine,279,23,11,12.4,58,26,inspection
Ponni,239,6,11,14.3,88,68,inspection
Basmati,208,17,1,14.5,82,86,inspection
Swarna,90,6,0,16.8,91,16,inspection
IR-64,424,19,3,13.2,65,86,inspection
Jasmine,197,3,7,14.8,74,57,inspection
Sona Masoori,266,25,4,14.2,67,88,inspection
Swarna,227,22,7,14.6,55,93,inspection
Jasmine,243,7,5,16.0,84,50,inspection
IR-64,313,18,2,12.9,68,43,inspection
Swarna,463,6,14,13.3,93,6,inspection
Swarna,68,3,3,12.2,60,56,inspection
Swarna,163,6,7,16.8,58,83,inspection
Basmati,107,4,4,15.0,66,10,inspection
IR-64,86,6,1,13.6,69,92,inspection
Jasmine,106,5,0,15.2,50,27,inspection
IR-64,325,23,13,15.1,50,1,inspection
Swarna,415,18,15,12.2,54,29,inspection
Sona Masoori,112,4,4,13.2,69,17,inspection
IR-64,388,22,0,16.8,59,8,inspection
Jasmine,144,11,6,13.8,63,80,inspection
Ponni,411,37,2,13.8,63,11,inspection
Sona Masoori,361,13,2,15.4,72,54,inspection
Basmati,390,24,11,11.9,85,76,inspection
Jasmine,73,2,2,16.0,92,38,inspection
IR-64,442,35,17,13.6,91,6,inspection
IR-64,313,21,1,13.5,65,63,inspection
Sona Masoori,244,21,6,16.4,58,49,inspection
Basmati,339,3,1,15.1,80,9,inspection
Basmati,170,9,5,11.7,53,50,inspection
Ponni,452,7,12,13.7,94,51,inspection
Ponni,138,7,1,13.0,69,10,inspection
IR-64,334,26,10,13.2,87,81,inspection
Jasmine,93,8,1,13.1,77,93,inspection
IR-64,104,6,0,16.4,57,58,inspection
Jasmine,439,4,3,15.0,61,15,inspection
Sona Masoori,143,8,5,14.1,72,66,inspection
Basmati,145,13,5,13.5,67,93,inspection
Sona Masoori,231,3,8,15.8,67,67,inspection
Ponni,381,16,9,11.9,79,65,inspection
Ponni,145,13,4,13.4,66,13,inspection
Sona Masoori,176,15,0,15.4,50,5,inspection
Sona Masoori,301,28,12,13.4,59,22,inspection
Ponni,471,14,5,16.3,91,53,inspection
Jasmine,223,9,5,12.9,54,73,inspection
Sona Masoori,151,14,0,12.7,83,5,inspection
Swarna,204,3,4,15.6,69,41,inspection
Basmati,162,10,3,13.0,69,94,inspection
Ponni,312,28,11,16.8,62,93,inspection
IR-64,137,4,2,11.5,76,3,inspection
Jasmine,64,2,2,16.5,50,84,inspection
Basmati,113,6,0,12.6,65,53,inspection
IR-64,424,38,11,13.0,52,29,inspection
Jasmine,250,4,1,13.9,55,74,inspection
Swarna,98,6,0,14.6,53,55,inspection
Basmati,193,16,3,16.0,75,89,inspection
Swarna,199,15,5,12.7,62,17,inspection
IR-64,114,5,3,12.4,79,40,inspection
IR-64,291,5,11,13.1,66,15,inspection
Basmati,483,14,20,15.2,88,5,inspection
IR-64,106,5,3,15.3,72,50,inspection
Basmati,479,41,13,16.8,51,51,inspection
Ponni,187,3,0,12.0,56,17,inspection
IR-64,126,9,5,12.6,75,47,inspection
Sona Masoori,358,35,3,14.6,54,2,inspection
Jasmine,287,6,13,15.8,55,42,inspection
Sona Masoori,146,6,0,16.4,77,92,inspection
Jasmine,278,9,6,12.4,63,23,inspection
IR-64,77,5,1,14.8,89,31,inspection
Ponni,305,6,3,11.8,67,49,inspection
Ponni,187,18,7,14.8,84,2,inspection
Basmati,305,28,7,14.4,81,44,inspection
Swarna,198,5,8,12.5,70,76,inspection
Basmati,89,3,2,15.8,80,67,inspection
IR-64,141,4,5,12.0,92,30,inspection
Jasmine,88,7,3,15.5,64,73,inspection
Basmati,489,15,7,16.8,61,22,inspection
Jasmine,417,30,7,13.4,87,3,inspection
Ponni,348,20,3,12.3,62,63,inspection
Sona Masoori,106,1,2,11.8,88,28,inspection
Basmati,374,27,17,12.6,58,43,inspection
Basmati,90,8,3,11.6,87,90,inspection
Ponni,500,36,16,13.4,54,47,inspection
Ponni,111,10,4,13.3,70,17,inspection
Swarna,465,17,16,14.9,81,83,inspection
Ponni,415,12,12,16.2,89,45,inspection
IR-64,253,5,9,13.1,94,37,inspection
Jasmine,353,9,5,13.6,86,4,inspection
Ponni,173,3,6,14.9,56,63,inspection
IR-64,237,21,1,16.7,60,81,inspection
Jasmine,403,4,4,14.9,71,57,inspection
Jasmine,94,0,1,13.4,56,92,inspection
Jasmine,274,24,4,16.6,76,63,inspection
Swarna,111,8,1,15.9,86,83,inspection
Swarna,97,1,1,15.7,52,37,inspection
Sona Masoori,97,7,2,13.3,74,20,inspection
Sona Masoori,233,17,5,14.6,89,61,inspection
Jasmine,144,2,2,14.7,77,20,inspection
IR-64,269,18,4,15.2,84,33,inspection
Sona Masoori,85,2,1,13.6,85,62,inspection
Swarna,104,6,1,13.1,92,80,inspection
Sona Masoori,165,8,0,12.4,68,10,inspection
Swarna,301,5,8,14.1,92,33,inspection
IR-64,249,12,3,16.2,73,23,inspection
Swarna,194,3,7,12.7,67,72,inspection
Jasmine,109,5,4,12.0,72,69,inspection
IR-64,343,16,9,11.8,74,66,inspection
Swarna,353,6,15,16.2,80,38,inspection
Jasmine,77,5,2,14.2,83,73,inspection
Sona Masoori,447,36,2,13.9,60,27,inspection
Swarna,100,9,3,16.7,77,25,inspection
Ponni,192,8,3,13.2,54,11,inspection
Basmati,498,40,15,13.0,79,1,inspection
Ponni,460,10,13,13.7,76,19,inspection
Sona Masoori,114,10,5,14.5,56,36,inspection
Swarna,195,12,0,13.5,81,73,inspection
Basmati,266,19,0,12.3,88,87,inspection
Basmati,413,37,0,12.8,80,34,inspection
Basmati,219,15,10,13.0,81,89,inspection
IR-64,128,4,2,13.1,78,41,inspection
Jasmine,105,8,3,12.5,63,52,inspection
Basmati,480,18,12,11.8,60,8,inspection
IR-64,459,11,20,16.0,86,3,inspection
IR-64,488,7,8,11.8,52,58,inspection
IR-64,200,9,9,13.5,79,64,inspection
Jasmine,75,3,3,12.8,81,76,inspection
Swarna,360,30,4,14.4,72,20,inspection
Jasmine,106,2,3,13.0,74,6,inspection
IR-64,498,14,16,12.7,64,86,inspection
Ponni,70,3,0,16.1,93,1,inspection
IR-64,367,23,17,15.7,64,32,inspection
Jasmine,423,36,9,14.9,77,48,inspection
IR-64,298,13,1,13.1,83,79,inspection
Ponni,399,27,12,16.6,73,71,inspection
Basmati,410,40,13,12.1,54,43,inspection
Basmati,193,5,4,15.0,91,38,inspection
IR-64,89,6,3,15.8,88,51,inspection
Jasmine,73,6,1,15.0,68,33,inspection
Jasmine,78,3,2,14.6,86,24,inspection
Jasmine,333,14,4,14.9,80,85,inspection
IR-64,490,17,11,15.0,85,23,inspection
Jasmine,192,18,8,15.3,85,23,inspection
Jasmine,105,9,2,12.7,64,95,inspection
Basmati,250,21,5,12.9,68,59,inspection
