route,load,variety,priority,preferred_status,eta_minutes,rain_safe
Indapur to Warehouse A,177 bags IR-64,IR-64,7,scheduled,129,True
Chakan to Warehouse A,192 bags Swarna,Swarna,8,standby,128,True
Sanaswadi to Warehouse C,326 bags Sona Masoori,Sona Masoori,3,standby,57,False
Baramati to Warehouse B,159 bags Swarna,Swarna,2,standby,112,True
Chakan to Warehouse B,451 bags Swarna,Swarna,10,ready,157,False
Talegaon to Warehouse A,201 bags IR-64,IR-64,2,scheduled,153,True
Daund to Warehouse B,79 bags Sona Masoori,Sona Masoori,19,ready,143,True
Sanaswadi to Warehouse C,91 bags IR-64,IR-64,3,scheduled,32,True
Chakan to Warehouse A,341 bags IR-64,IR-64,19,scheduled,25,True
Chakan to Warehouse C,348 bags Ponni,Ponni,17,ready,81,True
Khed to Warehouse C,210 bags IR-64,IR-64,9,ready,48,False
Baramati to Warehouse B,434 bags Sona Masoori,Sona Masoori,1,ready,174,True
Moshi to Warehouse C,159 bags Ponni,Ponni,9,standby,104,True
Lonikand to Warehouse A,239 bags Basmati,Basmati,6,ready,154,False
Pimpri to Warehouse C,320 bags Sona Masoori,Sona Masoori,18,ready,41,True
Wagholi to Warehouse A,104 bags Ponni,Ponni,5,ready,87,True
Daund to Warehouse B,154 bags Basmati,Basmati,17,ready,79,True
Moshi to Warehouse C,266 bags Basmati,Basmati,2,standby,100,True
Khed to Warehouse B,132 bags Swarna,Swarna,18,scheduled,124,True
Moshi to Warehouse A,403 bags IR-64,IR-64,18,standby,109,True
Chakan to Warehouse A,71 bags Basmati,Basmati,12,standby,106,True
Khed to Warehouse A,391 bags Sona Masoori,Sona Masoori,12,scheduled,119,True
Lonikand to Warehouse A,492 bags IR-64,IR-64,6,ready,21,True
Daund to Warehouse B,450 bags Swarna,Swarna,8,ready,55,True
Chakan to Warehouse A,489 bags Swarna,Swarna,8,standby,132,False
Wagholi to Warehouse A,164 bags Sona Masoori,Sona Masoori,7,ready,99,False
Bhosari to Warehouse A,445 bags Basmati,Basmati,12,scheduled,145,False
Khed to Warehouse C,219 bags Sona Masoori,Sona Masoori,4,ready,60,False
Sanaswadi to Warehouse A,355 bags Swarna,Swarna,12,scheduled,95,False
Pimpri to Warehouse C,109 bags Swarna,Swarna,19,standby,80,True
Daund to Warehouse B,50 bags Ponni,Ponni,18,scheduled,65,False
Chakan to Warehouse A,390 bags Basmati,Basmati,20,ready,46,False
Shirur to Warehouse B,391 bags Swarna,Swarna,11,ready,90,True
Hadapsar to Warehouse B,390 bags Swarna,Swarna,6,scheduled,160,False
Chakan to Warehouse C,476 bags Sona Masoori,Sona Masoori,10,ready,68,False
Indapur to Warehouse C,360 bags Basmati,Basmati,15,ready,128,True
Shirur to Warehouse B,456 bags IR-64,IR-64,3,ready,146,False
Moshi to Warehouse A,394 bags Basmati,Basmati,8,standby,52,True
Sanaswadi to Warehouse A,293 bags Ponni,Ponni,3,ready,121,True
Daund to Warehouse C,246 bags Swarna,Swarna,13,standby,52,True
Lonikand to Warehouse A,448 bags Swarna,Swarna,8,standby,147,False
Sanaswadi to Warehouse C,177 bags Sona Masoori,Sona Masoori,15,standby,133,False
Indapur to Warehouse B,363 bags Ponni,Ponni,14,scheduled,129,True
Daund to Warehouse B,280 bags Basmati,Basmati,8,scheduled,85,False
Khed to Warehouse A,190 bags Swarna,Swarna,3,scheduled,88,True
Wagholi to Warehouse B,213 bags Ponni,Ponni,3,standby,53,True
Chakan to Warehouse C,128 bags IR-64,IR-64,3,ready,119,False
Shirur to Warehouse B,262 bags Sona Masoori,Sona Masoori,7,ready,114,True
Bhosari to Warehouse C,244 bags Swarna,Swarna,1,ready,91,False
Bhosari to Warehouse B,325 bags Ponni,Ponni,20,standby,139,True
Wagholi to Warehouse B,298 bags Sona Masoori,Sona Masoori,13,ready,118,True
Bhosari to Warehouse B,115 bags Ponni,Ponni,18,standby,115,True
Moshi to Warehouse C,269 bags IR-64,IR-64,15,standby,27,False
Chakan to Warehouse B,158 bags Swarna,Swarna,11,ready,112,False
Indapur to Warehouse B,179 bags Sona Masoori,Sona Masoori,16,standby,153,True
Open Yard C to Warehouse A,382 bags Sona Masoori,Sona Masoori,2,standby,78,True
Bhosari to Warehouse A,368 bags IR-64,IR-64,8,standby,136,True
Pimpri to Warehouse A,288 bags Basmati,Basmati,12,standby,170,True
Indapur to Warehouse A,209 bags Sona Masoori,Sona Masoori,19,standby,94,False
Chakan to Warehouse C,151 bags Sona Masoori,Sona Masoori,19,scheduled,175,True
Moshi to Warehouse C,445 bags Basmati,Basmati,20,standby,159,True
Open Yard C to Warehouse C,269 bags Basmati,Basmati,3,scheduled,180,False
Sanaswadi to Warehouse B,471 bags Swarna,Swarna,4,ready,107,False
Daund to Warehouse A,272 bags IR-64,IR-64,17,scheduled,84,False
Baramati to Warehouse B,472 bags Ponni,Ponni,9,ready,77,True
Wagholi to Warehouse B,174 bags Swarna,Swarna,19,scheduled,112,False
Sanaswadi to Warehouse B,485 bags Basmati,Basmati,6,ready,69,False
Indapur to Warehouse B,224 bags Basmati,Basmati,20,scheduled,85,True
Shirur to Warehouse A,93 bags IR-64,IR-64,14,ready,157,True
Daund to Warehouse B,380 bags Swarna,Swarna,15,standby,38,False
Hadapsar to Warehouse B,404 bags IR-64,IR-64,10,scheduled,163,False
Baramati to Warehouse C,321 bags Basmati,Basmati,14,scheduled,155,False
Open Yard C to Warehouse C,282 bags Basmati,Basmati,10,ready,74,True
Daund to Warehouse A,211 bags Sona Masoori,Sona Masoori,18,scheduled,62,True
Hadapsar to Warehouse C,297 bags Basmati,Basmati,19,scheduled,167,False
Moshi to Warehouse A,201 bags IR-64,IR-64,12,standby,92,True
Daund to Warehouse C,114 bags Basmati,Basmati,2,standby,156,False
Daund to Warehouse A,376 bags Swarna,Swarna,4,standby,161,False
Baramati to Warehouse B,275 bags Basmati,Basmati,6,standby,79,False
Moshi to Warehouse A,255 bags Swarna,Swarna,3,scheduled,176,True
Talegaon to Warehouse A,465 bags Ponni,Ponni,10,standby,78,True
Shirur to Warehouse B,360 bags Ponni,Ponni,20,standby,148,False
Baramati to Warehouse B,202 bags Ponni,Ponni,14,ready,160,True
Pimpri to Warehouse C,100 bags IR-64,IR-64,7,ready,35,True
Hadapsar to Warehouse A,332 bags Sona Masoori,Sona Masoori,6,standby,119,False
Daund to Warehouse C,290 bags Basmati,Basmati,2,standby,88,False
Daund to Warehouse B,86 bags IR-64,IR-64,9,scheduled,165,True
Chakan to Warehouse A,328 bags IR-64,IR-64,5,ready,51,True
Sanaswadi to Warehouse A,455 bags Basmati,Basmati,20,scheduled,160,False
Baramati to Warehouse A,289 bags Basmati,Basmati,13,ready,143,False
Baramati to Warehouse A,356 bags Sona Masoori,Sona Masoori,14,scheduled,97,False
Sanaswadi to Warehouse A,167 bags Ponni,Ponni,19,standby,83,True
Indapur to Warehouse A,290 bags Ponni,Ponni,15,ready,61,False
Khed to Warehouse B,96 bags Swarna,Swarna,12,ready,100,False
Khed to Warehouse A,489 bags IR-64,IR-64,11,ready,141,False
Khed to Warehouse B,466 bags Ponni,Ponni,2,ready,37,False
Wagholi to Warehouse B,109 bags Swarna,Swarna,17,standby,153,False
Chakan to Warehouse A,146 bags Ponni,Ponni,12,scheduled,142,False
Indapur to Warehouse A,154 bags Basmati,Basmati,18,standby,88,False
Lonikand to Warehouse C,298 bags Sona Masoori,Sona Masoori,1,scheduled,170,True
Daund to Warehouse A,209 bags Ponni,Ponni,1,scheduled,119,True
Hadapsar to Warehouse A,286 bags Sona Masoori,Sona Masoori,5,ready,89,False
Chakan to Warehouse B,291 bags IR-64,IR-64,15,scheduled,52,False
Hadapsar to Warehouse C,310 bags IR-64,IR-64,3,ready,121,False
Lonikand to Warehouse C,186 bags Sona Masoori,Sona Masoori,10,scheduled,91,False
Bhosari to Warehouse A,278 bags Ponni,Ponni,16,ready,100,False
Baramati to Warehouse B,495 bags IR-64,IR-64,8,scheduled,113,True
Bhosari to Warehouse B,72 bags Basmati,Basmati,16,scheduled,112,False
Khed to Warehouse C,127 bags Swarna,Swarna,2,standby,143,False
Bhosari to Warehouse A,497 bags Swarna,Swarna,4,scheduled,131,True
Daund to Warehouse A,259 bags IR-64,IR-64,3,ready,82,False
Pimpri to Warehouse C,253 bags Sona Masoori,Sona Masoori,11,scheduled,151,False
Open Yard C to Warehouse C,417 bags Swarna,Swarna,18,standby,173,True
Hadapsar to Warehouse C,400 bags Basmati,Basmati,8,scheduled,38,False
Moshi to Warehouse C,410 bags Sona Masoori,Sona Masoori,15,standby,91,True
Sanaswadi to Warehouse B,457 bags Sona Masoori,Sona Masoori,10,ready,110,False
Talegaon to Warehouse A,321 bags Swarna,Swarna,19,scheduled,61,True
Talegaon to Warehouse A,362 bags Swarna,Swarna,20,scheduled,76,False
Lonikand to Warehouse C,123 bags IR-64,IR-64,15,scheduled,80,False
Wagholi to Warehouse C,54 bags Swarna,Swarna,10,scheduled,154,True
Moshi to Warehouse B,226 bags Ponni,Ponni,10,scheduled,123,False
Baramati to Warehouse B,151 bags Swarna,Swarna,16,standby,75,False
Pimpri to Warehouse B,344 bags Basmati,Basmati,10,standby,116,False
Sanaswadi to Warehouse C,492 bags Sona Masoori,Sona Masoori,20,scheduled,142,False
Indapur to Warehouse A,360 bags Basmati,Basmati,8,scheduled,63,False
Khed to Warehouse C,442 bags IR-64,IR-64,4,scheduled,180,True
Wagholi to Warehouse B,67 bags Ponni,Ponni,12,scheduled,48,True
Lonikand to Warehouse B,217 bags Swarna,Swarna,6,standby,48,False
Shirur to Warehouse C,189 bags IR-64,IR-64,9,ready,90,False
Indapur to Warehouse A,289 bags Sona Masoori,Sona Masoori,5,standby,116,False
Moshi to Warehouse B,57 bags Basmati,Basmati,18,standby,131,False
Khed to Warehouse C,394 bags Basmati,Basmati,19,ready,178,False
Moshi to Warehouse C,169 bags Swarna,Swarna,1,scheduled,158,False
Lonikand to Warehouse C,163 bags Sona Masoori,Sona Masoori,15,scheduled,92,False
Moshi to Warehouse A,73 bags Sona Masoori,Sona Masoori,10,ready,44,True
Hadapsar to Warehouse C,119 bags Swarna,Swarna,15,ready,153,False
Pimpri to Warehouse C,422 bags IR-64,IR-64,14,scheduled,40,False
Pimpri to Warehouse B,193 bags Sona Masoori,Sona Masoori,12,standby,128,False
Hadapsar to Warehouse B,100 bags Basmati,Basmati,18,scheduled,106,True
Chakan to Warehouse B,147 bags Sona Masoori,Sona Masoori,15,standby,69,True
Sanaswadi to Warehouse B,174 bags IR-64,IR-64,19,standby,32,True
Pimpri to Warehouse A,466 bags IR-64,IR-64,11,standby,167,True
Wagholi to Warehouse A,116 bags Ponni,Ponni,9,standby,43,True
Talegaon to Warehouse A,233 bags IR-64,IR-64,19,ready,19,True
Wagholi to Warehouse A,114 bags Swarna,Swarna,17,standby,31,False
Baramati to Warehouse B,312 bags Ponni,Ponni,4,ready,143,True
Pimpri to Warehouse A,422 bags Ponni,Ponni,10,ready,179,True
Sanaswadi to Warehouse B,483 bags Swarna,Swarna,14,scheduled,42,False
Daund to Warehouse B,87 bags Sona Masoori,Sona Masoori,11,scheduled,52,True
Talegaon to Warehouse B,369 bags Ponni,Ponni,18,scheduled,98,False
Pimpri to Warehouse C,200 bags Swarna,Swarna,17,scheduled,125,True
Indapur to Warehouse C,108 bags Ponni,Ponni,7,ready,130,True
Chakan to Warehouse B,473 bags Swarna,Swarna,13,ready,39,False
Chakan to Warehouse B,390 bags Basmati,Basmati,12,standby,136,True
Moshi to Warehouse A,97 bags Swarna,Swarna,4,scheduled,110,True
Shirur to Warehouse A,350 bags Ponni,Ponni,18,ready,46,False
Open Yard C to Warehouse C,434 bags Swarna,Swarna,2,ready,168,False
Open Yard C to Warehouse A,345 bags Ponni,Ponni,7,standby,138,True
Bhosari to Warehouse A,229 bags Ponni,Ponni,12,standby,86,True
Indapur to Warehouse B,482 bags Ponni,Ponni,20,scheduled,179,True
Pimpri to Warehouse C,474 bags Basmati,Basmati,1,standby,84,False
Lonikand to Warehouse B,229 bags Sona Masoori,Sona Masoori,6,standby,159,False
Moshi to Warehouse A,429 bags Sona Masoori,Sona Masoori,3,scheduled,150,True
Chakan to Warehouse B,282 bags Basmati,Basmati,6,ready,94,False
Indapur to Warehouse C,355 bags Sona Masoori,Sona Masoori,2,standby,55,True
Khed to Warehouse A,189 bags Swarna,Swarna,14,ready,170,False
Chakan to Warehouse B,160 bags Ponni,Ponni,4,ready,125,True
Wagholi to Warehouse C,397 bags Ponni,Ponni,16,scheduled,93,True
Hadapsar to Warehouse B,356 bags Sona Masoori,Sona Masoori,1,standby,92,True
Indapur to Warehouse A,441 bags Basmati,Basmati,10,ready,45,True
Baramati to Warehouse C,270 bags IR-64,IR-64,5,ready,151,True
Shirur to Warehouse C,476 bags Basmati,Basmati,3,ready,25,False
Sanaswadi to Warehouse B,89 bags Basmati,Basmati,19,ready,161,False
Daund to Warehouse C,263 bags Basmati,Basmati,4,ready,20,False
Talegaon to Warehouse C,285 bags Basmati,Basmati,3,ready,42,True
Chakan to Warehouse C,255 bags Ponni,Ponni,3,ready,94,False
Hadapsar to Warehouse B,448 bags IR-64,IR-64,3,scheduled,177,True
Shirur to Warehouse C,149 bags Basmati,Basmati,12,scheduled,180,True
Hadapsar to Warehouse A,124 bags Basmati,Basmati,7,standby,169,True
Indapur to Warehouse C,88 bags IR-64,IR-64,16,ready,159,False
Khed to Warehouse C,379 bags Ponni,Ponni,11,scheduled,95,True
Baramati to Warehouse A,290 bags Swarna,Swarna,10,ready,166,True
Open Yard C to Warehouse C,87 bags Basmati,Basmati,15,ready,24,True
Open Yard C to Warehouse B,89 bags Sona Masoori,Sona Masoori,20,scheduled,144,False
Baramati to Warehouse C,333 bags Sona Masoori,Sona Masoori,15,scheduled,63,False
Pimpri to Warehouse B,306 bags IR-64,IR-64,2,ready,41,False
Daund to Warehouse A,308 bags IR-64,IR-64,2,standby,127,False
Shirur to Warehouse C,362 bags IR-64,IR-64,12,ready,87,False
Chakan to Warehouse B,397 bags Ponni,Ponni,2,scheduled,180,False
Moshi to Warehouse B,98 bags Ponni,Ponni,13,ready,79,True
Open Yard C to Warehouse A,348 bags IR-64,IR-64,12,ready,115,True
Pimpri to Warehouse C,93 bags Basmati,Basmati,18,ready,179,False
Bhosari to Warehouse A,393 bags Ponni,Ponni,3,scheduled,123,False
Sanaswadi to Warehouse B,208 bags IR-64,IR-64,7,ready,139,True
Hadapsar to Warehouse A,129 bags Sona Masoori,Sona Masoori,10,standby,144,True
Khed to Warehouse B,498 bags Ponni,Ponni,5,scheduled,111,True
Talegaon to Warehouse A,475 bags Ponni,Ponni,6,scheduled,127,True
Chakan to Warehouse B,396 bags IR-64,IR-64,15,scheduled,87,False
Hadapsar to Warehouse C,172 bags Basmati,Basmati,16,standby,109,False
Baramati to Warehouse B,448 bags Swarna,Swarna,17,scheduled,122,True
Bhosari to Warehouse A,460 bags Ponni,Ponni,5,ready,28,False
Bhosari to Warehouse B,333 bags Sona Masoori,Sona Masoori,17,standby,87,True
Indapur to Warehouse A,189 bags Swarna,Swarna,17,standby,126,True
Lonikand to Warehouse A,468 bags Swarna,Swarna,12,standby,121,True
Chakan to Warehouse C,241 bags IR-64,IR-64,13,standby,110,True
Sanaswadi to Warehouse B,100 bags Basmati,Basmati,5,standby,24,False
Lonikand to Warehouse B,406 bags IR-64,IR-64,16,ready,172,True
Lonikand to Warehouse A,59 bags Basmati,Basmati,7,standby,155,False
Moshi to Warehouse B,171 bags Basmati,Basmati,4,standby,76,False
Khed to Warehouse C,284 bags Sona Masoori,Sona Masoori,4,ready,167,True
Khed to Warehouse C,344 bags IR-64,IR-64,5,ready,124,True
Pimpri to Warehouse B,173 bags Ponni,Ponni,14,standby,36,False
Moshi to Warehouse C,328 bags Ponni,Ponni,17,scheduled,20,False
Bhosari to Warehouse B,72 bags Swarna,Swarna,12,ready,19,False
Indapur to Warehouse A,226 bags IR-64,IR-64,4,scheduled,100,True
Sanaswadi to Warehouse B,329 bags Basmati,Basmati,6,scheduled,133,False
Khed to Warehouse A,465 bags IR-64,IR-64,3,scheduled,132,True
Wagholi to Warehouse A,72 bags IR-64,IR-64,2,ready,94,False
Bhosari to Warehouse C,292 bags Basmati,Basmati,2,scheduled,63,False
Open Yard C to Warehouse A,493 bags Basmati,Basmati,9,standby,109,False
Lonikand to Warehouse B,430 bags Swarna,Swarna,13,ready,62,False
Daund to Warehouse B,238 bags Ponni,Ponni,9,standby,123,True
Chakan to Warehouse C,471 bags IR-64,IR-64,18,ready,97,True
Moshi to Warehouse B,388 bags Basmati,Basmati,10,ready,169,False
Talegaon to Warehouse C,277 bags Basmati,Basmati,15,standby,105,False
Wagholi to Warehouse C,455 bags Sona Masoori,Sona Masoori,3,scheduled,178,False
Open Yard C to Warehouse C,460 bags IR-64,IR-64,1,standby,170,False
Sanaswadi to Warehouse A,84 bags IR-64,IR-64,12,ready,113,True
Pimpri to Warehouse A,397 bags Swarna,Swarna,12,ready,128,True
Pimpri to Warehouse A,321 bags Basmati,Basmati,13,ready,86,True
Moshi to Warehouse A,426 bags IR-64,IR-64,16,scheduled,114,True
Wagholi to Warehouse B,410 bags Swarna,Swarna,7,scheduled,88,False
Hadapsar to Warehouse A,119 bags Sona Masoori,Sona Masoori,15,standby,128,True
Indapur to Warehouse C,482 bags Basmati,Basmati,12,scheduled,31,False
Lonikand to Warehouse B,485 bags IR-64,IR-64,6,ready,145,True
Moshi to Warehouse A,455 bags IR-64,IR-64,8,ready,21,False
Shirur to Warehouse C,238 bags Swarna,Swarna,18,standby,171,True
Moshi to Warehouse B,253 bags Swarna,Swarna,17,ready,119,True
Talegaon to Warehouse B,378 bags Sona Masoori,Sona Masoori,15,ready,147,False
Talegaon to Warehouse C,377 bags Ponni,Ponni,6,standby,125,True
Bhosari to Warehouse A,315 bags IR-64,IR-64,10,standby,56,False
Lonikand to Warehouse C,165 bags Basmati,Basmati,17,ready,35,False
Hadapsar to Warehouse C,332 bags Basmati,Basmati,5,scheduled,92,True
Shirur to Warehouse C,136 bags Ponni,Ponni,19,standby,58,False
Bhosari to Warehouse C,71 bags Sona Masoori,Sona Masoori,3,standby,179,False
Khed to Warehouse A,442 bags Ponni,Ponni,14,scheduled,178,True
Baramati to Warehouse C,329 bags Basmati,Basmati,10,ready,77,False
Wagholi to Warehouse B,87 bags Sona Masoori,Sona Masoori,6,ready,121,False
Baramati to Warehouse A,224 bags Ponni,Ponni,5,ready,96,False
Chakan to Warehouse A,439 bags Basmati,Basmati,17,scheduled,42,False
Hadapsar to Warehouse B,112 bags Basmati,Basmati,15,standby,51,True
Sanaswadi to Warehouse B,246 bags Ponni,Ponni,14,standby,55,False
Lonikand to Warehouse C,419 bags Basmati,Basmati,7,standby,142,False
Baramati to Warehouse B,304 bags Sona Masoori,Sona Masoori,3,ready,144,False
Hadapsar to Warehouse A,348 bags Basmati,Basmati,2,standby,87,False
Pimpri to Warehouse C,394 bags Swarna,Swarna,10,scheduled,17,True
Chakan to Warehouse A,185 bags Basmati,Basmati,13,ready,26,False
Sanaswadi to Warehouse C,337 bags IR-64,IR-64,12,scheduled,88,True
Chakan to Warehouse C,280 bags Ponni,Ponni,9,scheduled,171,True
Talegaon to Warehouse A,251 bags Basmati,Basmati,11,scheduled,108,True
Hadapsar to Warehouse C,310 bags Swarna,Swarna,17,standby,26,True
Talegaon to Warehouse C,220 bags Swarna,Swarna,17,ready,53,True
Open Yard C to Warehouse C,213 bags IR-64,IR-64,13,scheduled,91,False
Shirur to Warehouse C,322 bags Swarna,Swarna,19,ready,136,True
Open Yard C to Warehouse B,394 bags Sona Masoori,Sona Masoori,14,scheduled,93,True
Pimpri to Warehouse B,185 bags Ponni,Ponni,19,standby,28,False
Talegaon to Warehouse C,372 bags Ponni,Ponni,13,standby,77,True
Pimpri to Warehouse C,106 bags IR-64,IR-64,1,ready,95,False
Talegaon to Warehouse B,403 bags IR-64,IR-64,14,scheduled,171,False
Bhosari to Warehouse C,422 bags Sona Masoori,Sona Masoori,5,scheduled,68,False
Khed to Warehouse B,319 bags Swarna,Swarna,11,standby,132,False
Shirur to Warehouse B,396 bags Basmati,Basmati,20,ready,64,True
Wagholi to Warehouse C,202 bags IR-64,IR-64,10,ready,68,False
Open Yard C to Warehouse B,228 bags Ponni,Ponni,9,ready,46,False
Lonikand to Warehouse B,469 bags Basmati,Basmati,5,ready,25,False
Daund to Warehouse A,227 bags Swarna,Swarna,9,scheduled,137,True
Hadapsar to Warehouse C,188 bags Ponni,Ponni,9,standby,42,True
Hadapsar to Warehouse A,392 bags Ponni,Ponni,8,scheduled,74,True
Moshi to Warehouse B,219 bags Swarna,Swarna,4,scheduled,50,True
Shirur to Warehouse A,258 bags Swarna,Swarna,16,scheduled,66,False
Open Yard C to Warehouse B,380 bags Sona Masoori,Sona Masoori,3,scheduled,161,True
Shirur to Warehouse C,420 bags Sona Masoori,Sona Masoori,6,ready,60,True
Bhosari to Warehouse B,453 bags Swarna,Swarna,6,scheduled,89,True
Sanaswadi to Warehouse B,340 bags Ponni,Ponni,4,ready,87,False
Khed to Warehouse C,318 bags Swarna,Swarna,5,scheduled,134,False
Hadapsar to Warehouse A,219 bags IR-64,IR-64,15,scheduled,80,True
Sanaswadi to Warehouse C,222 bags Basmati,Basmati,19,scheduled,64,True
Pimpri to Warehouse C,257 bags Swarna,Swarna,17,ready,37,False
Khed to Warehouse A,144 bags IR-64,IR-64,16,ready,78,True
Wagholi to Warehouse B,170 bags Swarna,Swarna,9,ready,92,True
Wagholi to Warehouse C,234 bags IR-64,IR-64,2,scheduled,45,False
Wagholi to Warehouse A,257 bags Ponni,Ponni,10,scheduled,45,False
Open Yard C to Warehouse C,163 bags IR-64,IR-64,5,ready,54,False
Daund to Warehouse C,241 bags Swarna,Swarna,18,ready,152,True
Indapur to Warehouse A,398 bags Ponni,Ponni,3,scheduled,129,False
Moshi to Warehouse C,107 bags Sona Masoori,Sona Masoori,18,scheduled,66,True
Talegaon to Warehouse B,487 bags Ponni,Ponni,15,standby,67,False
Moshi to Warehouse C,278 bags Sona Masoori,Sona Masoori,15,standby,146,False
Baramati to Warehouse C,79 bags Ponni,Ponni,15,scheduled,93,True
Chakan to Warehouse B,468 bags Sona Masoori,Sona Masoori,7,scheduled,33,True
Chakan to Warehouse B,408 bags Sona Masoori,Sona Masoori,18,standby,32,False
Sanaswadi to Warehouse B,259 bags IR-64,IR-64,5,scheduled,180,False
Open Yard C to Warehouse B,279 bags Swarna,Swarna,13,standby,153,True
Khed to Warehouse B,110 bags IR-64,IR-64,18,ready,150,True
Daund to Warehouse A,477 bags Sona Masoori,Sona Masoori,1,ready,133,False
Shirur to Warehouse B,471 bags IR-64,IR-64,8,ready,103,True
Wagholi to Warehouse A,498 bags Sona Masoori,Sona Masoori,2,scheduled,122,True
Hadapsar to Warehouse A,84 bags Sona Masoori,Sona Masoori,20,standby,129,True
Hadapsar to Warehouse C,72 bags Swarna,Swarna,15,standby,153,True
Indapur to Warehouse A,121 bags Ponni,Ponni,10,standby,162,False
Pimpri to Warehouse C,445 bags Basmati,Basmati,8,ready,51,True
Chakan to Warehouse B,190 bags Sona Masoori,Sona Masoori,18,scheduled,59,False
Shirur to Warehouse B,74 bags Basmati,Basmati,13,scheduled,96,False
Chakan to Warehouse A,203 bags Swarna,Swarna,6,scheduled,136,True
Bhosari to Warehouse A,203 bags IR-64,IR-64,15,standby,158,False
Chakan to Warehouse C,321 bags IR-64,IR-64,13,standby,80,True
Open Yard C to Warehouse C,90 bags Swarna,Swarna,12,standby,152,True
Sanaswadi to Warehouse B,243 bags Ponni,Ponni,20,standby,33,True
Indapur to Warehouse C,420 bags Ponni,Ponni,7,ready,68,False
Wagholi to Warehouse A,158 bags IR-64,IR-64,4,scheduled,137,True
Daund to Warehouse C,410 bags IR-64,IR-64,13,standby,156,False
Indapur to Warehouse B,244 bags Swarna,Swarna,18,scheduled,106,False
Wagholi to Warehouse B,312 bags Swarna,Swarna,15,standby,135,False
Lonikand to Warehouse A,239 bags Basmati,Basmati,14,standby,159,True
Daund to Warehouse A,58 bags Basmati,Basmati,18,scheduled,163,False
Wagholi to Warehouse A,150 bags Basmati,Basmati,8,ready,160,True
Baramati to Warehouse C,385 bags Basmati,Basmati,9,ready,179,False
Baramati to Warehouse A,425 bags Basmati,Basmati,6,standby,154,False
Talegaon to Warehouse C,378 bags Sona Masoori,Sona Masoori,17,standby,34,True
Indapur to Warehouse A,261 bags IR-64,IR-64,8,standby,53,True
Hadapsar to Warehouse C,283 bags Basmati,Basmati,2,scheduled,178,False
Khed to Warehouse B,58 bags Sona Masoori,Sona Masoori,18,scheduled,120,True
Sanaswadi to Warehouse C,419 bags Basmati,Basmati,18,ready,19,False
Indapur to Warehouse A,104 bags Sona Masoori,Sona Masoori,17,standby,76,True
Pimpri to Warehouse C,179 bags Basmati,Basmati,9,ready,35,False
Chakan to Warehouse B,339 bags IR-64,IR-64,8,ready,35,True
Moshi to Warehouse B,244 bags Swarna,Swarna,18,ready,29,True
Daund to Warehouse A,92 bags Swarna,Swarna,14,scheduled,99,True
Lonikand to Warehouse C,71 bags IR-64,IR-64,7,scheduled,160,False
